index,dataset,path,audio_duration,processing_time,rtf,ground_truth,gemini_model,gemini_transcription
0,linhtran92/viet_youtube_asr_corpus_v2,sample_0,2.581,2.793313175003277,1.0822600445576431,vậy và cái lần gần đây nhất chính là cái,gemini-2.5-flash,vậy và cái lần gần đây nhất
1,linhtran92/viet_youtube_asr_corpus_v2,sample_1,2.4024375,3.0178785260068253,1.2561735845393793,dài không liên lạc với gia đình và cũng,gemini-2.5-flash,dài không liên lạc với gia đình và
2,linhtran92/viet_youtube_asr_corpus_v2,sample_2,2.4005625,3.51338084199233,1.463565660961683,nhiều lần phải chịu và có khi lại nghiện,gemini-2.5-flash,nhiều lần phải chịu và có khi lại
3,linhtran92/viet_youtube_asr_corpus_v2,sample_3,4.60075,3.405620364996139,0.7402315633312263,trên thực tế chúng không bị mất đi mà chỉ đơn giản là được phát triển theo hướng linh động hơn,gemini-2.5-flash,"Trên thực tế, chúng không bị mất đi mà chỉ đơn giản là được phát triển theo hướng linh động hơn."
4,linhtran92/viet_youtube_asr_corpus_v2,sample_4,2.8404375,3.3177554800058715,1.16804382423689,này cô đắc ý quá rồi còn gì tôi bị hất,gemini-2.5-flash,này của đắc ý quá rồi còn gì. Tôi bị
5,linhtran92/viet_youtube_asr_corpus_v2,sample_5,2.20125,2.400148322019959,1.0903569889925993,bụng nhưng không nói được gì tưởng được,gemini-2.5-flash,bụng nhưng không nói được gì
6,linhtran92/viet_youtube_asr_corpus_v2,sample_6,2.26275,3.106751760991756,1.3729982370972293,chỉ là một bài học đáng quý để bạn nhận,gemini-2.5-flash,Chỉ là một bài học đáng quý để
7,linhtran92/viet_youtube_asr_corpus_v2,sample_7,2.9220625,2.3756419209821615,0.8130017482453443,nên bà đành phải nhận nó cũng không dám,gemini-2.5-flash,nên bà đành phải nhận nó cũng không
8,linhtran92/viet_youtube_asr_corpus_v2,sample_8,2.901125,3.1197706859966274,1.0753658273933828,còn lại mấy phóng viên biên tập có tâm,gemini-2.5-flash,Còn lại mấy phóng viên biên tập
9,linhtran92/viet_youtube_asr_corpus_v2,sample_9,2.7411875,3.2009905070008244,1.167738619485469,dù sao cũng được hai người đứng đầu,gemini-2.5-flash,Rồi sao cũng được hai người
10,linhtran92/viet_youtube_asr_corpus_v2,sample_10,3.1228125,2.894205720978789,0.9267945869240592,người chỉ huy hoặc người thống trị người,gemini-2.5-flash,Người chỉ huy hoặc người thống trị
