index,dataset,path,audio_duration,processing_time,rtf,ground_truth,gemini_transcription
0,capleaf/viVoice,audio_502.22_504.3.wav,2.1333333333333333,4.249080199981108,1.9917563437411445,Và mọi chuyện thì chưa dừng lại ở đó.,Và mọi chuyện thì chưa dừng lại ở đó.
1,capleaf/viVoice,audio_325.98_328.04.wav,2.1333333333333333,4.002433400019072,1.87614065625894,"Tuy nhiên, quá trình này không diễn ra lâu.","Tuy nhiên, quá trình này không diễn ra lâu,"
2,capleaf/viVoice,audio_399.3_401.78.wav,2.56,3.7936231000348926,1.48188402345113,Đây là những chiếc kẹn chim nước được làm bằng sứ.,Đây là những chiếc kèn chim nước được làm bằng sứ.
3,capleaf/viVoice,audio_466.06_466.92.wav,1.1093333333333333,4.871427799924277,4.3913111177202016,Chứ đó. Đâu ra?,Chứ đâu ra
4,capleaf/viVoice,audio_104.32_107.14.wav,3.072,3.6946896999143064,1.2026984700241883,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.
5,capleaf/viVoice,audio_1245.34_1247.3.wav,1.9626666666666666,3.9541651000035927,2.0146900985072653,Bản báo cáo miêu tả tâm trạng.,Bản báo cáo miêu tả tâm trạng
6,capleaf/viVoice,audio_641.74_648.68.wav,7.082666666666666,5.1368420999497175,0.7252694982986235,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.","Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên."
7,capleaf/viVoice,audio_1181.52_1182.84.wav,1.3653333333333333,3.765547899994999,2.75796965331665,Thì kết thúc này quen lắm.,Cái kết thúc này quen lắm.
8,capleaf/viVoice,audio_155.31_156.39.wav,1.1946666666666668,5.019330099923536,4.201448186319924,Cậu có nhìn thấy không?,Cậu có nhìn thấy không?
9,capleaf/viVoice,audio_613.06_617.18.wav,4.181333333333333,4.175840200041421,0.9986862723313348,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.","Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn."
10,capleaf/viVoice,audio_16.92_21.38.wav,4.522666666666667,4.2195944000268355,0.9329881485908392,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.","Đại tá Trần Đình Hưng, Phó chỉ huy trưởng, Tham mưu trưởng, Bộ chỉ huy Quân sự tỉnh"
