index,model,ground_truth,transcript,ground_truth_norm,transcript_norm,wer_norm,audio_duration_s,processing_time_s,rtf,token_count,has_native_timestamp,word_timestamps,error
0,google_v2,Và mọi chuyện thì chưa dừng lại ở đó.,Mở mọi chuyện thì chưa dừng lại ở đó,và mọi chuyện thì chưa dừng lại ở đó,mở mọi chuyện thì chưa dừng lại ở đó,0.111,2.133,1.718,0.805,9,True,"[{""word"": ""Mở"", ""start"": 0.0, ""end"": 0.5}, {""word"": ""mọi"", ""start"": 0.5, ""end"": 0.6}, {""word"": ""chuyện"", ""start"": 0.6, ""end"": 0.7}, {""word"": ""thì"", ""start"": 0.7, ""end"": 1.3}, {""word"": ""chưa"", ""start"": 1.3, ""end"": 1.5}, {""word"": ""dừng"", ""start"": 1.5, ""end"": 1.6}, {""word"": ""lại"", ""start"": 1.6, ""end"": 1.7}, {""word"": ""ở"", ""start"": 1.7, ""end"": 1.8}, {""word"": ""đó"", ""start"": 1.8, ""end"": 1.9}]",
0,iflytek,Và mọi chuyện thì chưa dừng lại ở đó., Và mọi chuyện thì chưa dừng lại ở đó.,và mọi chuyện thì chưa dừng lại ở đó,và mọi chuyện thì chưa dừng lại ở đó,0.0,2.133,1.047,0.491,10,False,"[{""word"": "" Và"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.1471264367816092}, {""word"": "" mọi"", ""wb"": null, ""we"": null, ""est_start"": 0.1471264367816092, ""est_end"": 0.367816091954023}, {""word"": "" chuyện"", ""wb"": null, ""we"": null, ""est_start"": 0.367816091954023, ""est_end"": 0.8091954022988506}, {""word"": "" thì"", ""wb"": null, ""we"": null, ""est_start"": 0.8091954022988506, ""est_end"": 1.0298850574712644}, {""word"": "" chưa"", ""wb"": null, ""we"": null, ""est_start"": 1.0298850574712644, ""est_end"": 1.3241379310344827}, {""word"": "" dừng"", ""wb"": null, ""we"": null, ""est_start"": 1.3241379310344827, ""est_end"": 1.6183908045977011}, {""word"": "" lại"", ""wb"": null, ""we"": null, ""est_start"": 1.6183908045977011, ""est_end"": 1.839080459770115}, {""word"": "" ở"", ""wb"": null, ""we"": null, ""est_start"": 1.839080459770115, ""est_end"": 1.9126436781609195}, {""word"": "" đó"", ""wb"": null, ""we"": null, ""est_start"": 1.9126436781609195, ""est_end"": 2.0597701149425287}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 2.0597701149425287, ""est_end"": 2.1333333333333333}]",
1,google_v2,"Tuy nhiên, quá trình này không diễn ra lâu.",Tuy nhiên quá trình này không diễn ra lâu,tuy nhiên quá trình này không diễn ra lâu,tuy nhiên quá trình này không diễn ra lâu,0.0,2.133,1.438,0.674,9,True,"[{""word"": ""Tuy"", ""start"": 0.0, ""end"": 0.4}, {""word"": ""nhiên"", ""start"": 0.4, ""end"": 0.5}, {""word"": ""quá"", ""start"": 0.5, ""end"": 0.9}, {""word"": ""trình"", ""start"": 0.9, ""end"": 1.0}, {""word"": ""này"", ""start"": 1.0, ""end"": 1.3}, {""word"": ""không"", ""start"": 1.3, ""end"": 1.5}, {""word"": ""diễn"", ""start"": 1.5, ""end"": 1.7}, {""word"": ""ra"", ""start"": 1.7, ""end"": 1.8}, {""word"": ""lâu"", ""start"": 1.8, ""end"": 1.9}]",
1,iflytek,"Tuy nhiên, quá trình này không diễn ra lâu.", Tuy nhiên quá trình này không diễn ra lâu.,tuy nhiên quá trình này không diễn ra lâu,tuy nhiên quá trình này không diễn ra lâu,0.0,2.133,0.699,0.328,10,False,"[{""word"": "" Tuy"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.18823529411764706}, {""word"": "" nhiên"", ""wb"": null, ""we"": null, ""est_start"": 0.18823529411764706, ""est_end"": 0.5019607843137255}, {""word"": "" quá"", ""wb"": null, ""we"": null, ""est_start"": 0.5019607843137255, ""est_end"": 0.6901960784313725}, {""word"": "" trình"", ""wb"": null, ""we"": null, ""est_start"": 0.6901960784313725, ""est_end"": 1.003921568627451}, {""word"": "" này"", ""wb"": null, ""we"": null, ""est_start"": 1.003921568627451, ""est_end"": 1.192156862745098}, {""word"": "" không"", ""wb"": null, ""we"": null, ""est_start"": 1.192156862745098, ""est_end"": 1.5058823529411764}, {""word"": "" diễn"", ""wb"": null, ""we"": null, ""est_start"": 1.5058823529411764, ""est_end"": 1.7568627450980392}, {""word"": "" ra"", ""wb"": null, ""we"": null, ""est_start"": 1.7568627450980392, ""est_end"": 1.8823529411764706}, {""word"": "" lâu"", ""wb"": null, ""we"": null, ""est_start"": 1.8823529411764706, ""est_end"": 2.0705882352941174}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 2.0705882352941174, ""est_end"": 2.133333333333333}]",
2,google_v2,Đây là những chiếc kẹn chim nước được làm bằng sứ.,Đây là những chiếc kèn chim nước được làm bằng sứ,đây là những chiếc kẹn chim nước được làm bằng sứ,đây là những chiếc kèn chim nước được làm bằng sứ,0.091,2.56,1.591,0.622,11,True,"[{""word"": ""Đây"", ""start"": 0.0, ""end"": 0.5}, {""word"": ""là"", ""start"": 0.5, ""end"": 0.7}, {""word"": ""những"", ""start"": 0.7, ""end"": 0.8}, {""word"": ""chiếc"", ""start"": 0.8, ""end"": 1.0}, {""word"": ""kèn"", ""start"": 1.0, ""end"": 1.3}, {""word"": ""chim"", ""start"": 1.3, ""end"": 1.5}, {""word"": ""nước"", ""start"": 1.5, ""end"": 1.6}, {""word"": ""được"", ""start"": 1.6, ""end"": 1.8}, {""word"": ""làm"", ""start"": 1.8, ""end"": 2.0}, {""word"": ""bằng"", ""start"": 2.0, ""end"": 2.2}, {""word"": ""sứ"", ""start"": 2.2, ""end"": 2.4}]",
2,iflytek,Đây là những chiếc kẹn chim nước được làm bằng sứ., Đây là những chiếc kèn ghim nước được làm bằng sứ.,đây là những chiếc kẹn chim nước được làm bằng sứ,đây là những chiếc kèn ghim nước được làm bằng sứ,0.182,2.56,0.79,0.309,12,False,"[{""word"": "" Đây"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.192}, {""word"": "" là"", ""wb"": null, ""we"": null, ""est_start"": 0.192, ""est_end"": 0.32}, {""word"": "" những"", ""wb"": null, ""we"": null, ""est_start"": 0.32, ""est_end"": 0.64}, {""word"": "" chiếc"", ""wb"": null, ""we"": null, ""est_start"": 0.64, ""est_end"": 0.96}, {""word"": "" kèn"", ""wb"": null, ""we"": null, ""est_start"": 0.96, ""est_end"": 1.152}, {""word"": "" ghim"", ""wb"": null, ""we"": null, ""est_start"": 1.152, ""est_end"": 1.408}, {""word"": "" nước"", ""wb"": null, ""we"": null, ""est_start"": 1.408, ""est_end"": 1.664}, {""word"": "" được"", ""wb"": null, ""we"": null, ""est_start"": 1.664, ""est_end"": 1.92}, {""word"": "" làm"", ""wb"": null, ""we"": null, ""est_start"": 1.92, ""est_end"": 2.112}, {""word"": "" bằng"", ""wb"": null, ""we"": null, ""est_start"": 2.112, ""est_end"": 2.3680000000000003}, {""word"": "" sứ"", ""wb"": null, ""we"": null, ""est_start"": 2.3680000000000003, ""est_end"": 2.4960000000000004}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 2.4960000000000004, ""est_end"": 2.5600000000000005}]",
3,google_v2,Chứ đó. Đâu ra?,Chưa đâu,chứ đó đâu ra,chưa đâu,0.75,1.109,1.165,1.05,2,True,"[{""word"": ""Chưa"", ""start"": 0.0, ""end"": 0.7}, {""word"": ""đâu"", ""start"": 0.7, ""end"": 0.9}]",
3,iflytek,Chứ đó. Đâu ra?, Chứ đó đâu ra.,chứ đó đâu ra,chứ đó đâu ra,0.0,1.109,0.956,0.861,5,False,"[{""word"": "" Chứ"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.3025454545454545}, {""word"": "" đó"", ""wb"": null, ""we"": null, ""est_start"": 0.3025454545454545, ""est_end"": 0.5042424242424242}, {""word"": "" đâu"", ""wb"": null, ""we"": null, ""est_start"": 0.5042424242424242, ""est_end"": 0.8067878787878786}, {""word"": "" ra"", ""wb"": null, ""we"": null, ""est_start"": 0.8067878787878786, ""est_end"": 1.0084848484848483}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 1.0084848484848483, ""est_end"": 1.109333333333333}]",
4,google_v2,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,như vì một lý do nào đó mà đi nào đã Block luôn Người Yêu Cũ,nhưng vì một lý do nào đó mà nina đã block luôn người yêu cũ,như vì một lý do nào đó mà đi nào đã block luôn người yêu cũ,0.2,3.072,1.776,0.578,16,True,"[{""word"": ""như"", ""start"": 0.0, ""end"": 0.5}, {""word"": ""vì"", ""start"": 0.5, ""end"": 0.7}, {""word"": ""một"", ""start"": 0.7, ""end"": 0.8}, {""word"": ""lý"", ""start"": 0.8, ""end"": 0.9}, {""word"": ""do"", ""start"": 0.9, ""end"": 1.0}, {""word"": ""nào"", ""start"": 1.0, ""end"": 1.1}, {""word"": ""đó"", ""start"": 1.1, ""end"": 1.3}, {""word"": ""mà"", ""start"": 1.3, ""end"": 1.5}, {""word"": ""đi"", ""start"": 1.5, ""end"": 1.8}, {""word"": ""nào"", ""start"": 1.8, ""end"": 1.8}, {""word"": ""đã"", ""start"": 1.8, ""end"": 2.0}, {""word"": ""Block"", ""start"": 2.0, ""end"": 2.2}, {""word"": ""luôn"", ""start"": 2.2, ""end"": 2.4}, {""word"": ""Người"", ""start"": 2.4, ""end"": 2.6}, {""word"": ""Yêu"", ""start"": 2.6, ""end"": 2.7}, {""word"": ""Cũ"", ""start"": 2.7, ""end"": 2.8}]",
4,iflytek,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ., Như vì 1 lý do nào đó mà dina đã block luôn người yêu cũ.,nhưng vì một lý do nào đó mà nina đã block luôn người yêu cũ,như vì 1 lý do nào đó mà dina đã block luôn người yêu cũ,0.2,3.072,1.212,0.395,16,False,"[{""word"": "" Như"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.21432558139534885}, {""word"": "" vì"", ""wb"": null, ""we"": null, ""est_start"": 0.21432558139534885, ""est_end"": 0.3572093023255814}, {""word"": "" 1"", ""wb"": null, ""we"": null, ""est_start"": 0.3572093023255814, ""est_end"": 0.4286511627906977}, {""word"": "" lý"", ""wb"": null, ""we"": null, ""est_start"": 0.4286511627906977, ""est_end"": 0.5715348837209302}, {""word"": "" do"", ""wb"": null, ""we"": null, ""est_start"": 0.5715348837209302, ""est_end"": 0.7144186046511627}, {""word"": "" nào"", ""wb"": null, ""we"": null, ""est_start"": 0.7144186046511627, ""est_end"": 0.9287441860465115}, {""word"": "" đó"", ""wb"": null, ""we"": null, ""est_start"": 0.9287441860465115, ""est_end"": 1.071627906976744}, {""word"": "" mà"", ""wb"": null, ""we"": null, ""est_start"": 1.071627906976744, ""est_end"": 1.2145116279069765}, {""word"": "" dina"", ""wb"": null, ""we"": null, ""est_start"": 1.2145116279069765, ""est_end"": 1.5002790697674415}, {""word"": "" đã"", ""wb"": null, ""we"": null, ""est_start"": 1.5002790697674415, ""est_end"": 1.643162790697674}, {""word"": "" block"", ""wb"": null, ""we"": null, ""est_start"": 1.643162790697674, ""est_end"": 2.0003720930232554}, {""word"": "" luôn"", ""wb"": null, ""we"": null, ""est_start"": 2.0003720930232554, ""est_end"": 2.2861395348837203}, {""word"": "" người"", ""wb"": null, ""we"": null, ""est_start"": 2.2861395348837203, ""est_end"": 2.643348837209302}, {""word"": "" yêu"", ""wb"": null, ""we"": null, ""est_start"": 2.643348837209302, ""est_end"": 2.8576744186046508}, {""word"": "" cũ"", ""wb"": null, ""we"": null, ""est_start"": 2.8576744186046508, ""est_end"": 3.0005581395348835}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 3.0005581395348835, ""est_end"": 3.0719999999999996}]",
