index,audio_duration_s,processing_time_s,rtf,wer,ground_truth,iflytek_transcription,ground_truth_norm,iflytek_transcription_norm,token_count,has_native_timestamp,tokens,error
0,2.133,0.969,0.454,0.0,Và mọi chuyện thì chưa dừng lại ở đó., Và mọi chuyện thì chưa dừng lại ở đó.,và mọi chuyện thì chưa dừng lại ở đó,và mọi chuyện thì chưa dừng lại ở đó,10,False,"[{""word"": "" Và"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.1471264367816092}, {""word"": "" mọi"", ""wb"": null, ""we"": null, ""est_start"": 0.1471264367816092, ""est_end"": 0.367816091954023}, {""word"": "" chuyện"", ""wb"": null, ""we"": null, ""est_start"": 0.367816091954023, ""est_end"": 0.8091954022988506}, {""word"": "" thì"", ""wb"": null, ""we"": null, ""est_start"": 0.8091954022988506, ""est_end"": 1.0298850574712644}, {""word"": "" chưa"", ""wb"": null, ""we"": null, ""est_start"": 1.0298850574712644, ""est_end"": 1.3241379310344827}, {""word"": "" dừng"", ""wb"": null, ""we"": null, ""est_start"": 1.3241379310344827, ""est_end"": 1.6183908045977011}, {""word"": "" lại"", ""wb"": null, ""we"": null, ""est_start"": 1.6183908045977011, ""est_end"": 1.839080459770115}, {""word"": "" ở"", ""wb"": null, ""we"": null, ""est_start"": 1.839080459770115, ""est_end"": 1.9126436781609195}, {""word"": "" đó"", ""wb"": null, ""we"": null, ""est_start"": 1.9126436781609195, ""est_end"": 2.0597701149425287}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 2.0597701149425287, ""est_end"": 2.1333333333333333}]",
1,2.133,0.707,0.331,0.0,"Tuy nhiên, quá trình này không diễn ra lâu.", Tuy nhiên quá trình này không diễn ra lâu.,tuy nhiên quá trình này không diễn ra lâu,tuy nhiên quá trình này không diễn ra lâu,10,False,"[{""word"": "" Tuy"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.18823529411764706}, {""word"": "" nhiên"", ""wb"": null, ""we"": null, ""est_start"": 0.18823529411764706, ""est_end"": 0.5019607843137255}, {""word"": "" quá"", ""wb"": null, ""we"": null, ""est_start"": 0.5019607843137255, ""est_end"": 0.6901960784313725}, {""word"": "" trình"", ""wb"": null, ""we"": null, ""est_start"": 0.6901960784313725, ""est_end"": 1.003921568627451}, {""word"": "" này"", ""wb"": null, ""we"": null, ""est_start"": 1.003921568627451, ""est_end"": 1.192156862745098}, {""word"": "" không"", ""wb"": null, ""we"": null, ""est_start"": 1.192156862745098, ""est_end"": 1.5058823529411764}, {""word"": "" diễn"", ""wb"": null, ""we"": null, ""est_start"": 1.5058823529411764, ""est_end"": 1.7568627450980392}, {""word"": "" ra"", ""wb"": null, ""we"": null, ""est_start"": 1.7568627450980392, ""est_end"": 1.8823529411764706}, {""word"": "" lâu"", ""wb"": null, ""we"": null, ""est_start"": 1.8823529411764706, ""est_end"": 2.0705882352941174}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 2.0705882352941174, ""est_end"": 2.133333333333333}]",
2,2.56,0.793,0.31,0.182,Đây là những chiếc kẹn chim nước được làm bằng sứ., Đây là những chiếc kèn ghim nước được làm bằng sứ.,đây là những chiếc kẹn chim nước được làm bằng sứ,đây là những chiếc kèn ghim nước được làm bằng sứ,12,False,"[{""word"": "" Đây"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.192}, {""word"": "" là"", ""wb"": null, ""we"": null, ""est_start"": 0.192, ""est_end"": 0.32}, {""word"": "" những"", ""wb"": null, ""we"": null, ""est_start"": 0.32, ""est_end"": 0.64}, {""word"": "" chiếc"", ""wb"": null, ""we"": null, ""est_start"": 0.64, ""est_end"": 0.96}, {""word"": "" kèn"", ""wb"": null, ""we"": null, ""est_start"": 0.96, ""est_end"": 1.152}, {""word"": "" ghim"", ""wb"": null, ""we"": null, ""est_start"": 1.152, ""est_end"": 1.408}, {""word"": "" nước"", ""wb"": null, ""we"": null, ""est_start"": 1.408, ""est_end"": 1.664}, {""word"": "" được"", ""wb"": null, ""we"": null, ""est_start"": 1.664, ""est_end"": 1.92}, {""word"": "" làm"", ""wb"": null, ""we"": null, ""est_start"": 1.92, ""est_end"": 2.112}, {""word"": "" bằng"", ""wb"": null, ""we"": null, ""est_start"": 2.112, ""est_end"": 2.3680000000000003}, {""word"": "" sứ"", ""wb"": null, ""we"": null, ""est_start"": 2.3680000000000003, ""est_end"": 2.4960000000000004}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 2.4960000000000004, ""est_end"": 2.5600000000000005}]",
3,1.109,0.508,0.458,0.0,Chứ đó. Đâu ra?, Chứ đó đâu ra.,chứ đó đâu ra,chứ đó đâu ra,5,False,"[{""word"": "" Chứ"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.3025454545454545}, {""word"": "" đó"", ""wb"": null, ""we"": null, ""est_start"": 0.3025454545454545, ""est_end"": 0.5042424242424242}, {""word"": "" đâu"", ""wb"": null, ""we"": null, ""est_start"": 0.5042424242424242, ""est_end"": 0.8067878787878786}, {""word"": "" ra"", ""wb"": null, ""we"": null, ""est_start"": 0.8067878787878786, ""est_end"": 1.0084848484848483}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 1.0084848484848483, ""est_end"": 1.109333333333333}]",
4,3.072,1.112,0.362,0.2,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ., Như vì 1 lý do nào đó mà dina đã block luôn người yêu cũ.,nhưng vì một lý do nào đó mà nina đã block luôn người yêu cũ,như vì 1 lý do nào đó mà dina đã block luôn người yêu cũ,16,False,"[{""word"": "" Như"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.21432558139534885}, {""word"": "" vì"", ""wb"": null, ""we"": null, ""est_start"": 0.21432558139534885, ""est_end"": 0.3572093023255814}, {""word"": "" 1"", ""wb"": null, ""we"": null, ""est_start"": 0.3572093023255814, ""est_end"": 0.4286511627906977}, {""word"": "" lý"", ""wb"": null, ""we"": null, ""est_start"": 0.4286511627906977, ""est_end"": 0.5715348837209302}, {""word"": "" do"", ""wb"": null, ""we"": null, ""est_start"": 0.5715348837209302, ""est_end"": 0.7144186046511627}, {""word"": "" nào"", ""wb"": null, ""we"": null, ""est_start"": 0.7144186046511627, ""est_end"": 0.9287441860465115}, {""word"": "" đó"", ""wb"": null, ""we"": null, ""est_start"": 0.9287441860465115, ""est_end"": 1.071627906976744}, {""word"": "" mà"", ""wb"": null, ""we"": null, ""est_start"": 1.071627906976744, ""est_end"": 1.2145116279069765}, {""word"": "" dina"", ""wb"": null, ""we"": null, ""est_start"": 1.2145116279069765, ""est_end"": 1.5002790697674415}, {""word"": "" đã"", ""wb"": null, ""we"": null, ""est_start"": 1.5002790697674415, ""est_end"": 1.643162790697674}, {""word"": "" block"", ""wb"": null, ""we"": null, ""est_start"": 1.643162790697674, ""est_end"": 2.0003720930232554}, {""word"": "" luôn"", ""wb"": null, ""we"": null, ""est_start"": 2.0003720930232554, ""est_end"": 2.2861395348837203}, {""word"": "" người"", ""wb"": null, ""we"": null, ""est_start"": 2.2861395348837203, ""est_end"": 2.643348837209302}, {""word"": "" yêu"", ""wb"": null, ""we"": null, ""est_start"": 2.643348837209302, ""est_end"": 2.8576744186046508}, {""word"": "" cũ"", ""wb"": null, ""we"": null, ""est_start"": 2.8576744186046508, ""est_end"": 3.0005581395348835}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 3.0005581395348835, ""est_end"": 3.0719999999999996}]",
5,1.963,0.714,0.364,0.0,Bản báo cáo miêu tả tâm trạng., Bản báo cáo miêu tả tâm trạng.,bản báo cáo miêu tả tâm trạng,bản báo cáo miêu tả tâm trạng,8,False,"[{""word"": "" Bản"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.24533333333333332}, {""word"": "" báo"", ""wb"": null, ""we"": null, ""est_start"": 0.24533333333333332, ""est_end"": 0.49066666666666664}, {""word"": "" cáo"", ""wb"": null, ""we"": null, ""est_start"": 0.49066666666666664, ""est_end"": 0.736}, {""word"": "" miêu"", ""wb"": null, ""we"": null, ""est_start"": 0.736, ""est_end"": 1.0631111111111111}, {""word"": "" tả"", ""wb"": null, ""we"": null, ""est_start"": 1.0631111111111111, ""est_end"": 1.2266666666666666}, {""word"": "" tâm"", ""wb"": null, ""we"": null, ""est_start"": 1.2266666666666666, ""est_end"": 1.472}, {""word"": "" trạng"", ""wb"": null, ""we"": null, ""est_start"": 1.472, ""est_end"": 1.8808888888888888}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 1.8808888888888888, ""est_end"": 1.9626666666666666}]",
6,7.083,1.66,0.234,0.188,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên."," Thuật ngữ bù sô xuất phát, từ tên tiếng nhật, của seri borious đã trở thành tư dùng để gọi các tựa game được tạo ra với cùng 1 công thức như trên.",thuật ngữ musou xuất phát từ tên tiếng nhật của series warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên,thuật ngữ bù sô xuất phát từ tên tiếng nhật của seri borious đã trở thành tư dùng để gọi các tựa game được tạo ra với cùng 1 công thức như trên,36,False,"[{""word"": "" Thuật"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.31064327485380117}, {""word"": "" ngữ"", ""wb"": null, ""we"": null, ""est_start"": 0.31064327485380117, ""est_end"": 0.4970292397660818}, {""word"": "" bù"", ""wb"": null, ""we"": null, ""est_start"": 0.4970292397660818, ""est_end"": 0.6212865497076023}, {""word"": "" sô"", ""wb"": null, ""we"": null, ""est_start"": 0.6212865497076023, ""est_end"": 0.7455438596491228}, {""word"": "" xuất"", ""wb"": null, ""we"": null, ""est_start"": 0.7455438596491228, ""est_end"": 0.9940584795321638}, {""word"": "" phát"", ""wb"": null, ""we"": null, ""est_start"": 0.9940584795321638, ""est_end"": 1.2425730994152047}, {""word"": "","", ""wb"": null, ""we"": null, ""est_start"": 1.2425730994152047, ""est_end"": 1.304701754385965}, {""word"": "" từ"", ""wb"": null, ""we"": null, ""est_start"": 1.304701754385965, ""est_end"": 1.4289590643274854}, {""word"": "" tên"", ""wb"": null, ""we"": null, ""est_start"": 1.4289590643274854, ""est_end"": 1.6153450292397662}, {""word"": "" tiếng"", ""wb"": null, ""we"": null, ""est_start"": 1.6153450292397662, ""est_end"": 1.9259883040935675}, {""word"": "" nhật"", ""wb"": null, ""we"": null, ""est_start"": 1.9259883040935675, ""est_end"": 2.1745029239766085}, {""word"": "","", ""wb"": null, ""we"": null, ""est_start"": 2.1745029239766085, ""est_end"": 2.2366315789473687}, {""word"": "" của"", ""wb"": null, ""we"": null, ""est_start"": 2.2366315789473687, ""est_end"": 2.4230175438596495}, {""word"": "" seri"", ""wb"": null, ""we"": null, ""est_start"": 2.4230175438596495, ""est_end"": 2.6715321637426905}, {""word"": "" borious"", ""wb"": null, ""we"": null, ""est_start"": 2.6715321637426905, ""est_end"": 3.1064327485380123}, {""word"": "" đã"", ""wb"": null, ""we"": null, ""est_start"": 3.1064327485380123, ""est_end"": 3.230690058479533}, {""word"": "" trở"", ""wb"": null, ""we"": null, ""est_start"": 3.230690058479533, ""est_end"": 3.4170760233918136}, {""word"": "" thành"", ""wb"": null, ""we"": null, ""est_start"": 3.4170760233918136, ""est_end"": 3.727719298245615}, {""word"": "" tư"", ""wb"": null, ""we"": null, ""est_start"": 3.727719298245615, ""est_end"": 3.8519766081871354}, {""word"": "" dùng"", ""wb"": null, ""we"": null, ""est_start"": 3.8519766081871354, ""est_end"": 4.100491228070176}, {""word"": "" để"", ""wb"": null, ""we"": null, ""est_start"": 4.100491228070176, ""est_end"": 4.2247485380116965}, {""word"": "" gọi"", ""wb"": null, ""we"": null, ""est_start"": 4.2247485380116965, ""est_end"": 4.411134502923977}, {""word"": "" các"", ""wb"": null, ""we"": null, ""est_start"": 4.411134502923977, ""est_end"": 4.597520467836257}, {""word"": "" tựa"", ""wb"": null, ""we"": null, ""est_start"": 4.597520467836257, ""est_end"": 4.783906432748537}, {""word"": "" game"", ""wb"": null, ""we"": null, ""est_start"": 4.783906432748537, ""est_end"": 5.0324210526315785}, {""word"": "" được"", ""wb"": null, ""we"": null, ""est_start"": 5.0324210526315785, ""est_end"": 5.2809356725146195}, {""word"": "" tạo"", ""wb"": null, ""we"": null, ""est_start"": 5.2809356725146195, ""est_end"": 5.4673216374269}, {""word"": "" ra"", ""wb"": null, ""we"": null, ""est_start"": 5.4673216374269, ""est_end"": 5.59157894736842}, {""word"": "" với"", ""wb"": null, ""we"": null, ""est_start"": 5.59157894736842, ""est_end"": 5.777964912280701}, {""word"": "" cùng"", ""wb"": null, ""we"": null, ""est_start"": 5.777964912280701, ""est_end"": 6.026479532163742}, {""word"": "" 1"", ""wb"": null, ""we"": null, ""est_start"": 6.026479532163742, ""est_end"": 6.0886081871345015}, {""word"": "" công"", ""wb"": null, ""we"": null, ""est_start"": 6.0886081871345015, ""est_end"": 6.3371228070175425}, {""word"": "" thức"", ""wb"": null, ""we"": null, ""est_start"": 6.3371228070175425, ""est_end"": 6.5856374269005835}, {""word"": "" như"", ""wb"": null, ""we"": null, ""est_start"": 6.5856374269005835, ""est_end"": 6.772023391812864}, {""word"": "" trên"", ""wb"": null, ""we"": null, ""est_start"": 6.772023391812864, ""est_end"": 7.020538011695905}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 7.020538011695905, ""est_end"": 7.082666666666665}]",
7,1.365,0.859,0.629,0.167,Thì kết thúc này quen lắm., Cái kết thúc này quen lắm.,thì kết thúc này quen lắm,cái kết thúc này quen lắm,7,False,"[{""word"": "" Cái"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.19504761904761903}, {""word"": "" kết"", ""wb"": null, ""we"": null, ""est_start"": 0.19504761904761903, ""est_end"": 0.39009523809523805}, {""word"": "" thúc"", ""wb"": null, ""we"": null, ""est_start"": 0.39009523809523805, ""est_end"": 0.6501587301587302}, {""word"": "" này"", ""wb"": null, ""we"": null, ""est_start"": 0.6501587301587302, ""est_end"": 0.8452063492063492}, {""word"": "" quen"", ""wb"": null, ""we"": null, ""est_start"": 0.8452063492063492, ""est_end"": 1.1052698412698412}, {""word"": "" lắm"", ""wb"": null, ""we"": null, ""est_start"": 1.1052698412698412, ""est_end"": 1.3003174603174603}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 1.3003174603174603, ""est_end"": 1.3653333333333333}]",
8,1.195,0.581,0.486,0.0,Cậu có nhìn thấy không?, Cậu có nhìn thấy không?,cậu có nhìn thấy không,cậu có nhìn thấy không,6,False,"[{""word"": "" Cậu"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.18863157894736843}, {""word"": "" có"", ""wb"": null, ""we"": null, ""est_start"": 0.18863157894736843, ""est_end"": 0.3143859649122807}, {""word"": "" nhìn"", ""wb"": null, ""we"": null, ""est_start"": 0.3143859649122807, ""est_end"": 0.5658947368421052}, {""word"": "" thấy"", ""wb"": null, ""we"": null, ""est_start"": 0.5658947368421052, ""est_end"": 0.8174035087719298}, {""word"": "" không"", ""wb"": null, ""we"": null, ""est_start"": 0.8174035087719298, ""est_end"": 1.1317894736842105}, {""word"": ""?"", ""wb"": null, ""we"": null, ""est_start"": 1.1317894736842105, ""est_end"": 1.1946666666666665}]",
9,4.181,1.046,0.25,0.071,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.", Nhìn từng người dân với ngôi nhà bị phá mà lòng tôi đau đớn.,nhìn từng người dân từng ngôi nhà bị phá mà lòng tôi đau đớn,nhìn từng người dân với ngôi nhà bị phá mà lòng tôi đau đớn,15,False,"[{""word"": "" Nhìn"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.35585815602836873}, {""word"": "" từng"", ""wb"": null, ""we"": null, ""est_start"": 0.35585815602836873, ""est_end"": 0.7117163120567375}, {""word"": "" người"", ""wb"": null, ""we"": null, ""est_start"": 0.7117163120567375, ""est_end"": 1.1565390070921984}, {""word"": "" dân"", ""wb"": null, ""we"": null, ""est_start"": 1.1565390070921984, ""est_end"": 1.423432624113475}, {""word"": "" với"", ""wb"": null, ""we"": null, ""est_start"": 1.423432624113475, ""est_end"": 1.6903262411347515}, {""word"": "" ngôi"", ""wb"": null, ""we"": null, ""est_start"": 1.6903262411347515, ""est_end"": 2.0461843971631204}, {""word"": "" nhà"", ""wb"": null, ""we"": null, ""est_start"": 2.0461843971631204, ""est_end"": 2.3130780141843967}, {""word"": "" bị"", ""wb"": null, ""we"": null, ""est_start"": 2.3130780141843967, ""est_end"": 2.491007092198581}, {""word"": "" phá"", ""wb"": null, ""we"": null, ""est_start"": 2.491007092198581, ""est_end"": 2.7579007092198573}, {""word"": "" mà"", ""wb"": null, ""we"": null, ""est_start"": 2.7579007092198573, ""est_end"": 2.9358297872340415}, {""word"": "" lòng"", ""wb"": null, ""we"": null, ""est_start"": 2.9358297872340415, ""est_end"": 3.2916879432624104}, {""word"": "" tôi"", ""wb"": null, ""we"": null, ""est_start"": 3.2916879432624104, ""est_end"": 3.558581560283687}, {""word"": "" đau"", ""wb"": null, ""we"": null, ""est_start"": 3.558581560283687, ""est_end"": 3.8254751773049636}, {""word"": "" đớn"", ""wb"": null, ""we"": null, ""est_start"": 3.8254751773049636, ""est_end"": 4.09236879432624}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 4.09236879432624, ""est_end"": 4.181333333333332}]",
