index,dataset,path,audio_duration,processing_time,rtf,ground_truth,google_transcription
0,linhtran92/viet_youtube_asr_corpus_v2,,2.581,1.7806349219754338,0.6899011708544881,vậy và cái lần gần đây nhất chính là cái,vậy và cái lần gần đây nhất chính là cái đợt
1,linhtran92/viet_youtube_asr_corpus_v2,,2.4024375,1.7939661471173167,0.7467274995155199,dài không liên lạc với gia đình và cũng,dài không liên lạc với gia đình và cũng
2,linhtran92/viet_youtube_asr_corpus_v2,,2.4005625,1.743900452973321,0.7264549258656341,nhiều lần phải chịu và có khi lại nghiện,nhiều lần phải chịu và có khi lại nghiện
3,linhtran92/viet_youtube_asr_corpus_v2,,4.60075,2.03975589084439,0.44335290786162906,trên thực tế chúng không bị mất đi mà chỉ đơn giản là được phát triển theo hướng linh động hơn,"Trên thực tế, chúng không bị mất đi mà chỉ đơn giản là được phát triển theo hướng linh động hơn."
4,linhtran92/viet_youtube_asr_corpus_v2,,2.8404375,1.7719999209512025,0.6238475308649468,này cô đắc ý quá rồi còn gì tôi bị hất,này cô đắc ý quá rồi còn gì. Tôi bị hất
5,linhtran92/viet_youtube_asr_corpus_v2,,2.20125,1.6406260440126061,0.7453156361215701,bụng nhưng không nói được gì tưởng được,"bụng nhưng không nói được gì, tưởng được"
6,linhtran92/viet_youtube_asr_corpus_v2,,2.26275,1.514573171036318,0.6693506445857111,chỉ là một bài học đáng quý để bạn nhận,Chỉ là một bài học đáng quý để bạn nhận
7,linhtran92/viet_youtube_asr_corpus_v2,,2.9220625,1.63301254902035,0.5588561329609993,nên bà đành phải nhận nó cũng không dám,"Nên bà đành phải nhận nó, cũng không dám"
8,linhtran92/viet_youtube_asr_corpus_v2,,2.901125,1.6463604168966413,0.5674903414698234,còn lại mấy phóng viên biên tập có tâm,Còn lại mấy phóng viên biên tập có tâm
9,linhtran92/viet_youtube_asr_corpus_v2,,2.7411875,1.659616804914549,0.6054371709029568,dù sao cũng được hai người đứng đầu,Rồi sao cũng được hai người đứng đầu
10,linhtran92/viet_youtube_asr_corpus_v2,,3.1228125,1.7462910180911422,0.5592045689874566,người chỉ huy hoặc người thống trị người,người chỉ huy hoặc người thống trị người
11,linhtran92/viet_youtube_asr_corpus_v2,,3.2611875,1.2420237069018185,0.3808501372281779,lớn lên nhanh thôi mà à mà chỉ có báo,"lớn lên nhanh thôi mà. À, mà chỉ có báo"
12,linhtran92/viet_youtube_asr_corpus_v2,,3.4110625,1.7299126440193504,0.5071477418016676,mong rằng giếng nước này có thể giúp đỡ,Mong rằng giếng nước này có thể giúp đỡ
13,linhtran92/viet_youtube_asr_corpus_v2,,3.301875,1.7220302070491016,0.5215310110313387,mình đi thôi anh tiếng người con gái,Mình đi thôi anh. Tiếng người con gái
14,linhtran92/viet_youtube_asr_corpus_v2,,3.2806875,1.1515049641020596,0.35099501677683703,kết tội anh ta thay vì vậy ông vờ như,"kết tội anh ta. Thay vì vậy, ông vờ như"
15,linhtran92/viet_youtube_asr_corpus_v2,,1.98,1.706565400119871,0.8619017172322581,thời đại mà mỗi buổi sáng thức dậy thì,thời đại mà mỗi buổi sáng thức dậy thì
16,linhtran92/viet_youtube_asr_corpus_v2,,2.6415625,1.497478460893035,0.566891171756502,chồng xem giống mà chẳng ai muốn làm,chồng xem giống mà chẳng ai muốn làm
17,linhtran92/viet_youtube_asr_corpus_v2,,2.64075,1.628582103876397,0.616711958298361,linh giận luôn cô không thèm để ý tới,"Linh giận luôn, cô không thèm để ý tới"
18,linhtran92/viet_youtube_asr_corpus_v2,,2.8015,1.5663400180637836,0.5591076273652628,dạ thôi chị em tranh thủ lúc cháu đang,"Dạ thôi chị, em tranh thủ lúc cháu đang"
19,linhtran92/viet_youtube_asr_corpus_v2,,2.300625,1.9611473609693348,0.8524411240290507,trong những tình huống tương tự cho thấy,những tình huống tương tự cho thấy
20,linhtran92/viet_youtube_asr_corpus_v2,,2.781375,1.1402178399730474,0.4099475403255754,thằng con ý muốn làm dịu cái ham muốn,con ý muốn làm dịu cái ham muốn
