index,dataset,path,audio_duration,processing_time,rtf,ground_truth,iflytek_transcription
0,dolly-vn/dolly-audio-1000h-vietnamese,a2257dc1-88ff-43f2-a9dc-6d8c533e7af3.wav,4.522666666666667,1.1951631468255073,0.26426071937474366,"Ta không muốn vậy! Họ tới dưới chân tòa tháp, đứng trước cánh cổng vào duy nhất.", Ta không muốn vậy họ tới dưới chân tòa tháp đứng trước cánh cổng vào duy nhất.
1,dolly-vn/dolly-audio-1000h-vietnamese,520aa164-6a34-4611-8c6d-c401a3a43b02.wav,2.112,0.6863556120079011,0.3249789829582865,Xe ra khỏi lối đi và bắt đầu leo dốc., Xe ra khỏi lối đi và bắt đầu leo dốc.
2,dolly-vn/dolly-audio-1000h-vietnamese,75b0ca7c-cf4c-4f3f-a11c-2bf0723e6991.wav,1.6106666666666667,0.9770650330465287,0.6066215023053779,Tới bệnh viện chúng tôi bước vào., Tới bệnh viện chúng tôi bước vào.
3,dolly-vn/dolly-audio-1000h-vietnamese,607e02ea-dc2c-411e-a313-100c805191c6.wav,7.2,1.6816473989747465,0.23356213874649256,"Sự im ắng, ngoại trừ những tiếng sóng vỗ đều đều ập vào bờ đá tít bên dưới, vẫn vô cùng ngột ngạt."," Sự im ắng ngoại trừ những tiếng sóng vỗ đều, đều ập vào bờ đá tít bên dưới vẫn vô cùng ngột ngạt."
4,dolly-vn/dolly-audio-1000h-vietnamese,71c1bcce-856c-4b90-9fb2-e30500f4fa20.wav,2.176,0.8095666889566928,0.37204351514553896,Họ lùi lại để trông cho rõ tòa tháp., Họ lùi lại để trông cho rõ tòa tháp.
5,dolly-vn/dolly-audio-1000h-vietnamese,03d68f29-0def-4c33-a86a-2025f6cee49a.wav,1.728,0.578235907945782,0.3346272615426979,Sinh Vào Thời Loạn hai., Sinh vào thời loạn 2.
6,dolly-vn/dolly-audio-1000h-vietnamese,f401f7d2-0df4-46b0-8969-f78dbea4e59f.wav,10.72,2.280820998130366,0.2127631528106685,"Nhưng quả thực là có gì đó bất ổn. Cậu có nghĩ là Bóng tối nghe thấy chúng ta đến và hắn đã trốn không? Giải pháp này cũng có thể lắm, Qadehar thú thực và chăm chú quan sát tòa tháp.", Nhưng quả thực là có gì đó bất ổn cậu có nghĩ là bóng tối nghe thấy chúng ta đến và hắn đã trốn giải pháp này cũng có thể lắm kady hà thú thực và chăm chú quan sát tòa.
7,dolly-vn/dolly-audio-1000h-vietnamese,e281d8ea-bb7a-4be7-9b81-0f0119f123f2.wav,4.448,1.1126870319712907,0.2501544586266391,"Một bà ngồi tại bàn giấy vào sổ ghi tên tuổi của Catherine, địa chỉ và tôn giáo của nàng."," 1 bà ngồi tại bàn giấy vào sổ ghi tên tuổi, của caferin địa chỉ và tôn giáo của nàng."
8,dolly-vn/dolly-audio-1000h-vietnamese,b56ffe90-adb8-4e40-bacc-39fb16ff8cec.wav,1.248,0.8666566121391952,0.6944363879320474,Nửa Đêm Đến Viếng năm., Nửa đêm đến viếng năm.
9,dolly-vn/dolly-audio-1000h-vietnamese,bc915e72-b48e-42ef-8734-60dd19a83ec5.wav,3.6906666666666665,1.0925209601409733,0.29602265899773483,Nàng khai tên là Catherine Henry. Tôi sẽ đưa bà lên phòng Bà ta nói., Nàng khai tên là carry henry tôi sẽ đưa bà lên phòng bà ta nói.
10,dolly-vn/dolly-audio-1000h-vietnamese,2730450e-93ce-401e-9a54-52beca68f501.wav,1.0666666666666667,0.5627402670215815,0.5275690003327327,Diệt Trừ Vây Cánh sáu., Diệt trừ vây cánh 6.
11,dolly-vn/dolly-audio-1000h-vietnamese,2a867633-9010-4c76-b878-a865bd4dab77.wav,3.4133333333333336,2.317980560939759,0.67909586746282,Đột nhập bằng lối cửa ra vào sẽ làm chúng ta mất quá nhiều thời gian., Đột nhập bằng lối cửa ra vào sẽ làm chúng ta mất quá nhiều thời gian.
12,dolly-vn/dolly-audio-1000h-vietnamese,6922058b-b5c9-4fb0-8b5d-0d783fa5f8b8.wav,5.557333333333333,2.432725721038878,0.4377505496111225,Chúng tôi đi lên thang máy và bước ra đi theo bà ta qua một hành lang. Phòng đây Bà ấy nói Mời bà thay quần áo và bước lên giường.," Chúng tôi đi lên thang máy và bước ra đi theo bà ta qua 1 hành lang phòng đây, bà ấy nói mời bà thay quần áo và bước lên giường."
13,dolly-vn/dolly-audio-1000h-vietnamese,2263229d-95d5-4cfd-bede-fab32dd5c9f0.wav,5.013333333333334,1.2191730740014464,0.24318611848433105,Tôi bước ra ngoài và ngồi trên một chiếc ghế ở ngoài hành lang. Ông có thể vào được Bà ta đứng ở ngưỡng cửa bảo tôi.," Tôi bước ra ngoài và ngồi trên 1 chiếc ghế ở ngoài hành lang, ông có thể vào được bà ta, đứng ở ngưỡng cửa bảo tôi."
14,dolly-vn/dolly-audio-1000h-vietnamese,4d73660d-e634-418a-8539-32bc8280ecd4.wav,6.368,6.517666502157226,1.0235029054895142,"Catherine nằm trên một chiếc giường hẹp, mặc chiếc áo ngủ cổ vuông được may bằng vải thô.", Catherine nằm trên 1 chiếc giường hẹp mặc chiếc áo ngủ cổ vuông được may bằng vải thô.
15,dolly-vn/dolly-audio-1000h-vietnamese,abcd7307-13fe-427d-94bb-619dd2f4063a.wav,1.696,0.6156919680070132,0.36302592453243704,Duyệt Binh Tại Mạnh Tân tám., Duyệt binh tại mạnh tân 8.
16,dolly-vn/dolly-audio-1000h-vietnamese,b3826ce4-b134-48e1-80f6-1609d5ed1338.wav,2.816,6.175796491093934,2.1931095493941526,Nàng nhìn tôi mỉm cười. Bây giờ em đang đau thúc lên., Nàng nhìn tôi mỉm cười bây giờ em đang đau thúc lên.
17,dolly-vn/dolly-audio-1000h-vietnamese,c09591b1-1c29-41aa-bd36-547ead0b9001.wav,7.1466666666666665,1.7281981220003217,0.24181876707094055,"Đoàn Phù thủy đồng loạt quay người lại, và theo phản xạ, tất cả đều thủ tư thế của Naudhiz, Linh Phù chống lại các cuộc tấn công. Không phải vậy! Qadehar gào lên khi thấy các đồng môn của mình.", Đoàn phù thủy đồng loạt quay người lại và theo phản xạ tất cả đều thủ tư thế của nadis linh phù chống lại các cuộc tấn công không phải vậy kedia gào lên khi thấy các đồng môn của mình.
18,dolly-vn/dolly-audio-1000h-vietnamese,18c1dbbb-4ebf-4461-b12e-2654bdda3734.wav,2.7626666666666666,0.8002021501306444,0.2896484616785634,Mẹ kiếp! Chúng ta đang ở trong Thế giới Vô hình., Mẹ kiếp chúng ta đang ở trong thế giới vô hình.
19,dolly-vn/dolly-audio-1000h-vietnamese,d3a62d03-9c90-4a26-a09c-11e9847cc2e3.wav,9.536,2.1271553188562393,0.22306578427603183,"Để làm chủ được bảng thứ tự các vì sao ma thuật trong Thế giới Vô hình, tất nhiên phải chỉnh sửa nhiều và thay đổi dáng vẻ của các Linh Phù tùy theo hình dạng mới của các chòm sao."," Để làm chủ được bảng thứ các vì sao, ma thuật trong thế giới vô hình, tất nhiên, phải chỉnh sửa nhiều và thay đổi dáng vẻ của các linh phù tùy theo hình dạng mới của các chòm sao."
