index,ground_truth,google_transcription,wer,cer,tts_time,stt_time,audio_duration,rtf
0,Và mọi chuyện thì chưa dừng lại ở đó.,Và mọi chuyện thì chưa dừng lại ở đó.,0.0,0.0,2.5666102999821305,2.3145592999644578,3.048,0.759369849069704
1,"Tuy nhiên, quá trình này không diễn ra lâu.",Ừ.,1.0,1.0,21.009428800083697,1.678592599928379,0.048,34.970679165174566
2,Đây là những chiếc kẹn chim nước được làm bằng sứ.,Đây là những chiếc kén chim nước được làm bằng sứ.,0.09090909090909091,0.02040816326530612,1.6344139000866562,2.5051685001235455,3.648,0.6867238213057965
3,Chứ đó. Đâu ra?,Chữ đó đâu ra?,0.25,0.07692307692307693,1.6100830000359565,1.8006834001280367,2.52,0.714556904812713
4,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,0.0,0.0,1.9133828000631183,3.2673851000145078,6.12,0.5338864542507366
5,Bản báo cáo miêu tả tâm trạng.,Bản báo cáo miêu tả tâm trạng.,0.0,0.0,1.2098803000990301,1.0718361001927406,2.4,0.4465983750803086
6,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.","Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của Series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",0.0,0.0,2.213951600017026,3.101344400085509,10.056,0.30840735879927494
7,Thì kết thúc này quen lắm.,Thì kết thúc này quen lắm.,0.0,0.0,1.572411400033161,2.13573390012607,2.352,0.9080501276046216
8,Cậu có nhìn thấy không?,Cậu có nhìn thấy không?,0.0,0.0,1.476797099923715,1.9915883999783546,2.616,0.7613105504504413
9,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.",Nhìn từng người dân từng ngôi nhà bị phá mà lòng tôi đau đớn.,0.0,0.0,2.0836775000207126,2.0993489001411945,5.256,0.39941950154893346
10,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.",Đại tá Trần Đình Hưng phó chỉ huy trưởng tham mưu trưởng bộ chỉ huy quân sự tỉnh.,0.0,0.0,1.8337446001823992,1.8733443999662995,6.048,0.3097460978780257
11,"Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.","Trong bầu không khí náo nhiệt của rạp hát, hùng thủ rút khẩu súng ra. Ông Deringer 44 ly dí sát đầu tổng thống mà ná đại.",0.1111111111111111,0.041666666666666664,3.259606200037524,2.6665984999854118,10.008,0.26644669264442566
12,"Một, một ngày hãy làm tốt vài điều mình muốn làm.",Một một ngày hãy làm tốt vài điều mình muốn làm.,0.0,0.0,1.7178271000739187,2.0348918999079615,4.608,0.4415998046675264
13,Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.,Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.,0.0,0.0,2.1093109999783337,2.9043297001626343,7.416,0.39163021846853213
14,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.,0.0,0.0,2.074369099922478,2.7864454998634756,7.92,0.35182392675043883
15,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hi vọng và mong ước.,0.05263157894736842,0.012658227848101266,1.8472090000286698,2.389748299960047,6.216,0.38445114220721477
16,Ám sát kẻ thù của quốc gia.,Ám sát kẻ thù của quốc gia.,0.0,0.0,1.4840991999953985,2.175392200006172,3.264,0.6664804534332636
17,Xếp trồi lên và gợi ý bạn.,Xếp chùi lên và gợi ý bạn.,0.14285714285714285,0.12,1.5700026000849903,1.8693419999908656,2.856,0.6545315126018437
18,Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.,Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.,0.0,0.0,1.845527600031346,2.24731109989807,7.056,0.31849647107398954
19,"Hãy gạt bỏ chúng qua hẳn một bên, rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.",Hãy gạt bỏ chúng qua hẳn một bên rồi chuẩn bị vun đắp thói quen sống trong những năm tàu đóng chặt kín.,0.043478260869565216,0.019417475728155338,2.1603842000477016,2.730065800016746,7.56,0.3611198148170299
20,Mà bước chân bối rối.,Mà bước chân bối rối.,0.0,0.0,3.021692799869925,2.1980163999833167,2.352,0.934530782305832
21,Bảo đi chơi cũng không.,Bảo đi chơi cũng không.,0.0,0.0,1.1251579001545906,1.0681183999404311,2.664,0.40094534532298465
22,"Đầu tiên là do đồng yên liên tục mất giá trong năm 2023, làm xói mòn lợi nhuận xuất khẩu.",Đầu tiên là do Đồng Yên liên tục mất giá trong năm 2023 làm xói mòn lợi nhuận xuất khẩu.,0.0,0.0,1.9445711998268962,1.6882885000668466,7.416,0.22765486786230402
23,"Năm 2015, Việt Nam chọn hệ thống tiên lửa Spider làm hệ thống tiên lửa phòng không tầm trung mới.","Năm 2015, Việt Nam chọn hệ thống tiên lửa Spider làm hệ thống tiên lửa phòng không tầm trung mới.",0.0,0.0,2.163698500022292,2.56845930009149,6.864,0.3741927884748675
24,"Trong những năm gần đây, Starbucks đã tăng giá các sản phẩm của mình để đối phó với lãng phát và chi phí lao động tăng cao.","Trong những năm gần đây, Starbucks đã tăng giá các sản phẩm của mình để đối phó với lãng phát và chi phí lao động tăng cao.",0.0,0.0,2.09949819999747,2.5230139000341296,8.16,0.3091928799061433
25,"Như vậy, thật ra sát xuất để ô tô ở cửa 1 và cửa 3 không phải là bằng nhau.",Như vậy thật ra sát suất để ô tô ở cửa 1 và cửa 3 không phải là bằng nhau.,0.05,0.0136986301369863,1.880875299917534,2.1694269001018256,5.808,0.3735239153067882
26,"Kiểm soát cảm xúc thực chất là một quá trình đánh giá lại bản thân, để tìm thấy tự do, thoát khỏi sự cuốn hút của chính bản ngã.","Kiểm soát cảm xúc, thực chấp là một quá trình đánh giá lại bản thân để tìm thấy tự do, thoát khỏi sự cuốn hút của chính bản ngã.",0.034482758620689655,0.008,2.122412000084296,3.0156240998767316,9.6,0.31412751040382625
27,"Thứ hai, trong khẩu vũ khí có nòng còn bảy viên.","Thứ hai, trong khẩu vũ khí có nòng còn bảy viên.",0.0,0.0,1.607597199967131,1.314490499906242,4.416,0.2976654211744207
28,"Trước đó, phóng viên thông tấn xã Việt Nam đã đưa tin trong giờ ra chơi tiết 2, nam sinh lớp 10 trường Trung học Phổ thông Đào Duy Từ bất ngờ rơi từ tầng 4 của nhà trường và bị đa chấn thương.","Trước đó, phóng viên thông tấn xã Việt Nam đã đưa tin trong giờ ra chơi tiết hai, nam sinh lớp 10, trường Trung học phổ thông Bảo Duy Từ bất ngờ rơi từ tầng bốn của nhà trường và bị đa chấn thương.",0.06818181818181818,0.042328042328042326,4.0843789000064135,2.335703199962154,12.816,0.1822490012454864
29,Với giá cao hơn đá thị trường.,Với giá cao hơn đá thị trường.,0.0,0.0,1.5070638000033796,1.9588212000671774,2.712,0.7222792035645934
30,"Chiến thuật này đã kích cầu việc mua rượu, và ngay sau đó, ông bán được một số lượng rượu lớn từ những người khách đó.",Chiến thuật này đã tích cầu việc mua rượu và ngay sau đó ông bán được một số lượng rượu lớn từ những người khách đó.,0.038461538461538464,0.008695652173913044,2.138992300024256,3.069466100074351,7.656,0.4009229493305056
31,Khỏi tâm trạng tiêu cực.,Khỏi tâm trạng tiêu cực.,0.0,0.0,1.05025490000844,1.3206399001646787,1.92,0.6878332813357702
32,"Để bảo vệ mình, Đài Loan có thể tận dụng nguồn lực mà họ đang có để thiết lập một khu vực cấm nhằm ngăn chặn hải quân của PLA từ việc xâm nhập vào phía đông của đảo.",để bảo vệ mình. Đài Loan có thể tận dụng nguồn lực mà họ đang có để thiết lập một khu vực cấm nhằm ngăn chặn hải quân của PLA từ việc xâm nhập vào phía đông của đảo.,0.0,0.0,4.04694309993647,3.1102062999270856,12.504,0.24873690818354813
33,Nga giặt hoài không ra.,Nga ghi giặt hoài không ra.,0.2,0.18181818181818182,1.4859235000330955,2.650900300126523,3.552,0.7463120214320166
34,Mọi chuyện không chỉ dừng lại ở đó.,Mọi chuyện không chỉ dừng lại ở đó.,0.0,0.0,1.8190546999685466,1.5270712000783533,2.952,0.5173005420319625
35,"Sáng hôm sau, Lacey nhận ra rằng cô đã không nhận được tin tức gì từ Tony hay Victoria cả đêm.","Sáng hôm sau, Lệ Si nhận ra rằng cô đã không nhận được tin tức gì từ Tony hay Victoria cả đêm.",0.09523809523809523,0.043478260869565216,2.0910153998993337,1.6169759000185877,7.32,0.2208983469970748
36,Vì vậy mà những chuyên binh nửa người nửa mái của Liên Xô đã không được sử dụng.,Vì vậy mà những chuyên binh nửa người nửa máy của Liên Xô đã không được sử dụng.,0.05555555555555555,0.012658227848101266,1.8268672002013773,2.300830699969083,5.952,0.3865642977098594
37,Nhưng Steve đã cho thấy cách thức những nguyên lý này phối hợp hoạt động giúp Amazon mở rộng quy mô không giống như bất kỳ công ty nào khác.,Steve đã cho thấy cách thức những nguyên lý này phối hợp hoạt động giúp Amazon mở rộng quy mô không giống như bất kỳ công ty nào khác.,0.03333333333333333,0.04316546762589928,2.221875699935481,2.536700899945572,10.2,0.2486961666613306
38,Nhưng vẫn có sự sống trong điều kiện khắc nghiệt này.,Nhưng vẫn có sự sống trong điều kiện khắc nghiệt này.,0.0,0.0,1.5111776001285762,3.145061400020495,5.112,0.6152311032903942
39,TV có không hình hiển thị sắc nét nhờ độ phân giải 4K và công nghệ bộ xử lý Crystal 4K.,TV có khung hình hiển thị sắc nét nhờ độ phân giải 4K và công nghệ bộ xử lý Crystal 4K.,0.047619047619047616,0.011627906976744186,1.9561333998572081,2.8152821001131088,7.92,0.355464911630443
