Audio_ID,Model,Duration_s,Processing_Time_s,RTF,WER,Ground_Truth,Transcript,Ground_Truth_Norm,Transcript_Norm,Word_Timestamps,Error
Sample_0,latest_short,2.13,2.12,0.994,0.111,Và mọi chuyện thì chưa dừng lại ở đó.,Mở mọi chuyện thì chưa dừng lại ở đó,và mọi chuyện thì chưa dừng lại ở đó,mở mọi chuyện thì chưa dừng lại ở đó,"[{'word': 'Mở', 'start': 0.0, 'end': 0.5}, {'word': 'mọi', 'start': 0.5, 'end': 0.6}, {'word': 'chuyện', 'start': 0.6, 'end': 0.7}, {'word': 'thì', 'start': 0.7, 'end': 1.3}, {'word': 'chưa', 'start': 1.3, 'end': 1.5}, {'word': 'dừng', 'start': 1.5, 'end': 1.6}, {'word': 'lại', 'start': 1.6, 'end': 1.7}, {'word': 'ở', 'start': 1.7, 'end': 1.8}, {'word': 'đó', 'start': 1.8, 'end': 1.9}]",
Sample_1,latest_short,2.13,2.82,1.32,0.0,"Tuy nhiên, quá trình này không diễn ra lâu.",Tuy nhiên quá trình này không diễn ra lâu,tuy nhiên quá trình này không diễn ra lâu,tuy nhiên quá trình này không diễn ra lâu,"[{'word': 'Tuy', 'start': 0.0, 'end': 0.4}, {'word': 'nhiên', 'start': 0.4, 'end': 0.5}, {'word': 'quá', 'start': 0.5, 'end': 0.9}, {'word': 'trình', 'start': 0.9, 'end': 1.0}, {'word': 'này', 'start': 1.0, 'end': 1.3}, {'word': 'không', 'start': 1.3, 'end': 1.5}, {'word': 'diễn', 'start': 1.5, 'end': 1.7}, {'word': 'ra', 'start': 1.7, 'end': 1.8}, {'word': 'lâu', 'start': 1.8, 'end': 1.9}]",
Sample_2,latest_short,2.56,2.94,1.147,0.091,Đây là những chiếc kẹn chim nước được làm bằng sứ.,Đây là những chiếc kèn chim nước được làm bằng sứ,đây là những chiếc kẹn chim nước được làm bằng sứ,đây là những chiếc kèn chim nước được làm bằng sứ,"[{'word': 'Đây', 'start': 0.0, 'end': 0.5}, {'word': 'là', 'start': 0.5, 'end': 0.7}, {'word': 'những', 'start': 0.7, 'end': 0.8}, {'word': 'chiếc', 'start': 0.8, 'end': 1.0}, {'word': 'kèn', 'start': 1.0, 'end': 1.3}, {'word': 'chim', 'start': 1.3, 'end': 1.5}, {'word': 'nước', 'start': 1.5, 'end': 1.6}, {'word': 'được', 'start': 1.6, 'end': 1.8}, {'word': 'làm', 'start': 1.8, 'end': 2.0}, {'word': 'bằng', 'start': 2.0, 'end': 2.2}, {'word': 'sứ', 'start': 2.2, 'end': 2.4}]",
Sample_3,latest_short,1.11,1.05,0.944,0.75,Chứ đó. Đâu ra?,Chưa đâu,chứ đó đâu ra,chưa đâu,"[{'word': 'Chưa', 'start': 0.0, 'end': 0.7}, {'word': 'đâu', 'start': 0.7, 'end': 0.9}]",
Sample_4,latest_short,3.07,2.19,0.713,0.2,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,như vì một lý do nào đó mà đi nào đã Block luôn Người Yêu Cũ,nhưng vì một lý do nào đó mà nina đã block luôn người yêu cũ,như vì một lý do nào đó mà đi nào đã block luôn người yêu cũ,"[{'word': 'như', 'start': 0.0, 'end': 0.5}, {'word': 'vì', 'start': 0.5, 'end': 0.7}, {'word': 'một', 'start': 0.7, 'end': 0.8}, {'word': 'lý', 'start': 0.8, 'end': 0.9}, {'word': 'do', 'start': 0.9, 'end': 1.0}, {'word': 'nào', 'start': 1.0, 'end': 1.1}, {'word': 'đó', 'start': 1.1, 'end': 1.3}, {'word': 'mà', 'start': 1.3, 'end': 1.5}, {'word': 'đi', 'start': 1.5, 'end': 1.8}, {'word': 'nào', 'start': 1.8, 'end': 1.8}, {'word': 'đã', 'start': 1.8, 'end': 2.0}, {'word': 'Block', 'start': 2.0, 'end': 2.2}, {'word': 'luôn', 'start': 2.2, 'end': 2.4}, {'word': 'Người', 'start': 2.4, 'end': 2.6}, {'word': 'Yêu', 'start': 2.6, 'end': 2.7}, {'word': 'Cũ', 'start': 2.7, 'end': 2.8}]",
Sample_5,latest_short,1.96,1.63,0.832,0.0,Bản báo cáo miêu tả tâm trạng.,bản báo cáo miêu tả tâm trạng,bản báo cáo miêu tả tâm trạng,bản báo cáo miêu tả tâm trạng,"[{'word': 'bản', 'start': 0.0, 'end': 0.6}, {'word': 'báo', 'start': 0.6, 'end': 0.7}, {'word': 'cáo', 'start': 0.7, 'end': 0.8}, {'word': 'miêu', 'start': 0.8, 'end': 1.3}, {'word': 'tả', 'start': 1.3, 'end': 1.5}, {'word': 'tâm', 'start': 1.5, 'end': 1.8}, {'word': 'trạng', 'start': 1.8, 'end': 1.9}]",
Sample_6,latest_short,7.08,4.48,0.633,0.062,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",thuật ngữ bù xù xuất phát từ tên tiếng Nhật của series Warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên,thuật ngữ musou xuất phát từ tên tiếng nhật của series warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên,thuật ngữ bù xù xuất phát từ tên tiếng nhật của series warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên,"[{'word': 'thuật', 'start': 0.0, 'end': 0.5}, {'word': 'ngữ', 'start': 0.5, 'end': 0.6}, {'word': 'bù', 'start': 0.6, 'end': 0.8}, {'word': 'xù', 'start': 0.8, 'end': 1.0}, {'word': 'xuất', 'start': 1.0, 'end': 1.5}, {'word': 'phát', 'start': 1.5, 'end': 1.6}, {'word': 'từ', 'start': 1.6, 'end': 1.8}, {'word': 'tên', 'start': 1.8, 'end': 1.9}, {'word': 'tiếng', 'start': 1.9, 'end': 2.0}, {'word': 'Nhật', 'start': 2.0, 'end': 2.2}, {'word': 'của', 'start': 2.2, 'end': 2.2}, {'word': 'series', 'start': 2.2, 'end': 2.8}, {'word': 'Warriors', 'start': 2.8, 'end': 3.3}, {'word': 'đã', 'start': 3.3, 'end': 3.6}, {'word': 'trở', 'start': 3.6, 'end': 3.7}, {'word': 'thành', 'start': 3.7, 'end': 3.9}, {'word': 'từ', 'start': 3.9, 'end': 4.0}, {'word': 'dùng', 'start': 4.0, 'end': 4.4}, {'word': 'để', 'start': 4.4, 'end': 4.6}, {'word': 'gọi', 'start': 4.6, 'end': 4.7}, {'word': 'các', 'start': 4.7, 'end': 4.9}, {'word': 'tựa', 'start': 4.9, 'end': 5.0}, {'word': 'game', 'start': 5.0, 'end': 5.2}, {'word': 'được', 'start': 5.2, 'end': 5.4}, {'word': 'tạo', 'start': 5.4, 'end': 5.5}, {'word': 'ra', 'start': 5.5, 'end': 5.6}, {'word': 'với', 'start': 5.6, 'end': 6.0}, {'word': 'cùng', 'start': 6.0, 'end': 6.1}, {'word': 'một', 'start': 6.1, 'end': 6.2}, {'word': 'công', 'start': 6.2, 'end': 6.4}, {'word': 'thức', 'start': 6.4, 'end': 6.5}, {'word': 'như', 'start': 6.5, 'end': 6.7}, {'word': 'trên', 'start': 6.7, 'end': 6.8}]",
Sample_7,latest_short,1.37,1.18,0.866,1.0,Thì kết thúc này quen lắm.,,thì kết thúc này quen lắm,,[],
Sample_8,latest_short,1.19,1.05,0.881,0.0,Cậu có nhìn thấy không?,Cậu có nhìn thấy không,cậu có nhìn thấy không,cậu có nhìn thấy không,"[{'word': 'Cậu', 'start': 0.0, 'end': 0.5}, {'word': 'có', 'start': 0.5, 'end': 0.7}, {'word': 'nhìn', 'start': 0.7, 'end': 0.7}, {'word': 'thấy', 'start': 0.7, 'end': 0.9}, {'word': 'không', 'start': 0.9, 'end': 1.0}]",
Sample_9,latest_short,4.18,2.86,0.685,0.143,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.",nhìn từng người dân mỗi nhà bị phá mà lòng tôi đau đớn,nhìn từng người dân từng ngôi nhà bị phá mà lòng tôi đau đớn,nhìn từng người dân mỗi nhà bị phá mà lòng tôi đau đớn,"[{'word': 'nhìn', 'start': 0.0, 'end': 0.6}, {'word': 'từng', 'start': 0.6, 'end': 0.8}, {'word': 'người', 'start': 0.8, 'end': 0.9}, {'word': 'dân', 'start': 0.9, 'end': 1.0}, {'word': 'mỗi', 'start': 1.0, 'end': 2.0}, {'word': 'nhà', 'start': 2.0, 'end': 2.1}, {'word': 'bị', 'start': 2.1, 'end': 2.3}, {'word': 'phá', 'start': 2.3, 'end': 2.7}, {'word': 'mà', 'start': 2.7, 'end': 3.0}, {'word': 'lòng', 'start': 3.0, 'end': 3.2}, {'word': 'tôi', 'start': 3.2, 'end': 3.4}, {'word': 'đau', 'start': 3.4, 'end': 3.7}, {'word': 'đớn', 'start': 3.7, 'end': 3.8}]",
