index,original_text,google_transcription,wer,cer,stt_time
0,Và mọi chuyện thì chưa dừng lại ở đó.,và mọi chuyện thì chưa dừng lại ở đó,0.0,0.0,2.1973842000588775
1,"Tuy nhiên, quá trình này không diễn ra lâu.",tuy nhiên quá trình này không diễn ra lâu,0.0,0.0,1.8506622998975217
2,Đây là những chiếc kẹn chim nước được làm bằng sứ.,Đây là những chiếc kẹt chim nước được làm bằng sứ,0.09090909090909091,0.02040816326530612,2.3869272000156343
3,Chứ đó. Đâu ra?,trừ đó đâu ra,0.25,0.23076923076923078,1.9715868999483064
4,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,nhưng vì một lý do nào đó mà nina đã block luôn người yêu cũ,0.0,0.0,2.321174299926497
5,Bản báo cáo miêu tả tâm trạng.,bản báo cáo miêu tả tâm trạng,0.0,0.0,2.0564526000525802
6,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",thuật ngữ muso xuất phát từ tên tiếng nhật của series warrior đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên,0.0625,0.013513513513513514,1.6670610000146553
7,Thì kết thúc này quen lắm.,thì kết thúc này quen lắm,0.0,0.0,1.7715905000222847
8,Cậu có nhìn thấy không?,cậu có nhìn thấy không,0.0,0.0,1.823392799939029
9,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.",nhìn từng người dân từng ngôi nhà bị phá mà lòng tôi đau đớn,0.0,0.0,2.608467400074005
