index,dataset,path,audio_duration,processing_time,rtf,ground_truth,gemini_model,gemini_transcription
0,linhtran92/viet_youtube_asr_corpus_v2,sample_0,2.581,4.035449265007628,1.563521605969635,vậy và cái lần gần đây nhất chính là cái,gemini-3-flash-preview,này và cái lần gần đây nhất chính là cái đợt
1,linhtran92/viet_youtube_asr_corpus_v2,sample_1,2.4024375,3.675392724981066,1.5298598714768088,dài không liên lạc với gia đình và cũng,gemini-3-flash-preview,dài không liên lạc với gia đình và cũng
2,linhtran92/viet_youtube_asr_corpus_v2,sample_2,2.4005625,4.095073814009083,1.7058809399918076,nhiều lần phải chịu và có khi lại nghiện,gemini-3-flash-preview,"nhiều lần phải chịu, và có khi lại nghiện"
3,linhtran92/viet_youtube_asr_corpus_v2,sample_3,4.60075,3.7777220100106206,0.8211100385829747,trên thực tế chúng không bị mất đi mà chỉ đơn giản là được phát triển theo hướng linh động hơn,gemini-3-flash-preview,"Trên thực tế, chúng không bị mất đi, mà chỉ đơn giản là được phát triển theo hướng linh động hơn."
4,linhtran92/viet_youtube_asr_corpus_v2,sample_4,2.8404375,4.8167736799805425,1.695785835801894,này cô đắc ý quá rồi còn gì tôi bị hất,gemini-3-flash-preview,"Này, cô đắc ý quá rồi còn gì. Tôi bị hất"
5,linhtran92/viet_youtube_asr_corpus_v2,sample_5,2.20125,3.279205382015789,1.4897014796210286,bụng nhưng không nói được gì tưởng được,gemini-3-flash-preview,bụng nhưng không nói được gì tưởng được
6,linhtran92/viet_youtube_asr_corpus_v2,sample_6,2.26275,3.566526745009469,1.5761912473801651,chỉ là một bài học đáng quý để bạn nhận,gemini-3-flash-preview,chỉ là một bài học đáng quý để bạn nhận
7,linhtran92/viet_youtube_asr_corpus_v2,sample_7,2.9220625,3.5130301589961164,1.2022433329184836,nên bà đành phải nhận nó cũng không dám,gemini-3-flash-preview,"nên bà đành phải nhận nó, cũng không dám"
8,linhtran92/viet_youtube_asr_corpus_v2,sample_8,2.901125,4.08408866400714,1.4077603219465347,còn lại mấy phóng viên biên tập có tâm,gemini-3-flash-preview,Còn lại mấy phóng viên biên tập có tâm
9,linhtran92/viet_youtube_asr_corpus_v2,sample_9,2.7411875,3.8896747280086856,1.4189743415978242,dù sao cũng được hai người đứng đầu,gemini-3-flash-preview,Dù sao cũng được hai người đứng đầu
10,linhtran92/viet_youtube_asr_corpus_v2,sample_10,3.1228125,3.5120399139996152,1.1246400204942228,người chỉ huy hoặc người thống trị người,gemini-3-flash-preview,"Người chỉ huy hoặc người thống trị, người"
11,linhtran92/viet_youtube_asr_corpus_v2,sample_11,3.2611875,3.9031223810161464,1.1968408381965607,lớn lên nhanh thôi mà à mà chỉ có báo,gemini-3-flash-preview,lớn lên nhanh thôi mà à mà chị có báo
12,linhtran92/viet_youtube_asr_corpus_v2,sample_12,3.4110625,4.032036449993029,1.182047074773045,mong rằng giếng nước này có thể giúp đỡ,gemini-3-flash-preview,Mong rằng giếng nước này có thể giúp đỡ
13,linhtran92/viet_youtube_asr_corpus_v2,sample_13,3.301875,4.929552362009417,1.4929554759066948,mình đi thôi anh tiếng người con gái,gemini-3-flash-preview,Mình đi thôi anh. Tiếng người con gái
14,linhtran92/viet_youtube_asr_corpus_v2,sample_14,3.2806875,3.4530902040132787,1.0525507851672185,kết tội anh ta thay vì vậy ông vờ như,gemini-3-flash-preview,"kết tội anh ta. Thay vì vậy, ông vờ như"
15,linhtran92/viet_youtube_asr_corpus_v2,sample_15,1.98,3.595194455992896,1.815754775753988,thời đại mà mỗi buổi sáng thức dậy thì,gemini-3-flash-preview,thời đại mà mỗi buổi sáng thức dậy thì
16,linhtran92/viet_youtube_asr_corpus_v2,sample_16,2.6415625,6.750707736006007,2.5555737318371254,chồng xem giống mà chẳng ai muốn làm,gemini-3-flash-preview,chồng xem giống mà chẳng ai muốn làm
17,linhtran92/viet_youtube_asr_corpus_v2,sample_17,2.64075,3.2486332719854545,1.230193419288253,linh giận luôn cô không thèm để ý tới,gemini-3-flash-preview,"Linh giận luôn, cô không thèm để ý tới"
18,linhtran92/viet_youtube_asr_corpus_v2,sample_18,2.8015,4.0051949249755125,1.4296608691684858,dạ thôi chị em tranh thủ lúc cháu đang,gemini-3-flash-preview,"Dạ thôi chị, em tranh thủ lúc cháu đang"
19,linhtran92/viet_youtube_asr_corpus_v2,sample_19,2.300625,3.4006690490059555,1.4781500892174757,trong những tình huống tương tự cho thấy,gemini-3-flash-preview,trong những tình huống tương tự cho thấy
20,linhtran92/viet_youtube_asr_corpus_v2,sample_20,2.781375,3.4173252399777994,1.2286459898351711,thằng con ý muốn làm dịu cái ham muốn,gemini-3-flash-preview,"thằng con, ý muốn làm dịu cái ham muốn"
21,linhtran92/viet_youtube_asr_corpus_v2,sample_21,2.1023125,3.9250775079999585,1.8670285735350756,mắt vào màn hình máy tính thấy trong đó,gemini-3-flash-preview,mắt vào màn hình máy tính thấy trong đó
22,linhtran92/viet_youtube_asr_corpus_v2,sample_22,2.840625,3.4745341680245474,1.2231583429789386,khi nhìn thấy tiền cùng ma túy một kẻ,gemini-3-flash-preview,"Khi nhìn thấy tiền cùng ma túy, một kẻ"
23,linhtran92/viet_youtube_asr_corpus_v2,sample_23,1.29875,3.4923479949939065,2.6890071183783686,thì các bạn có thể đến để ăn thử nhá,gemini-3-flash-preview,thì các bạn có thể đến để ăn thử nhé
24,linhtran92/viet_youtube_asr_corpus_v2,sample_24,2.440375,4.779241240990814,1.9584044423462845,nữa chứ không phải là một lần duy nhất,gemini-3-flash-preview,"nữa, chứ không phải là một lần duy nhất"
25,linhtran92/viet_youtube_asr_corpus_v2,sample_25,3.92175,3.546301588998176,0.9042650829344492,con đừng có nói gì nữa ổn rồi có mẹ đi,gemini-3-flash-preview,"Con đừng có nói gì nữa, ổn rồi, có mẹ đây rồi."
26,linhtran92/viet_youtube_asr_corpus_v2,sample_26,1.961625,3.4844696880027186,1.7763179445626553,hoàn toàn khác với vẻ bề ngoài lạnh lùng,gemini-3-flash-preview,hoàn toàn khác với vẻ bề ngoài lạnh lùng
27,linhtran92/viet_youtube_asr_corpus_v2,sample_27,1.432375,3.33782118500676,2.3302704843401765,chúng ta vẫn đã là chúng ta,gemini-3-flash-preview,chúng ta vẫn đã là chúng ta
28,linhtran92/viet_youtube_asr_corpus_v2,sample_28,2.381,3.407041559985373,1.4309288366171244,nhưng mà phần lớn là các bạn sẽ phải có,gemini-3-flash-preview,nhưng mà phần lớn là các bạn sẽ phải có
29,linhtran92/viet_youtube_asr_corpus_v2,sample_29,2.0216875,3.0022934800072107,1.4850433017007874,họ chắc chắn đã lén lút hẹn hò với nhau,gemini-3-flash-preview,Họ chắc chắn đã lén lút hẹn hò với nhau.
30,linhtran92/viet_youtube_asr_corpus_v2,sample_30,2.7415,3.738900163996732,1.3638154893294663,chỉ là hỗ trợ giảm tối thiểu tốc độ lão,gemini-3-flash-preview,chỉ là hỗ trợ giảm tối thiểu tốc độ lão hóa
31,linhtran92/viet_youtube_asr_corpus_v2,sample_31,2.5399375,3.5202142039779574,1.3859452069107832,nhưng nào ngờ trong chăn mới biết chăn,gemini-3-flash-preview,"Nhưng nào ngờ, trong chăn mới biết chăn có rận."
32,linhtran92/viet_youtube_asr_corpus_v2,sample_32,2.6605,3.3775630589807406,1.2695219165497993,kiếm được nhiều tiền không có nghĩa là,gemini-3-flash-preview,Kiếm được nhiều tiền không có nghĩa là
