index,dataset,path,audio_duration,processing_time,rtf,ground_truth,google_transcription
0,dolly-vn/dolly-audio-1000h-vietnamese,a2257dc1-88ff-43f2-a9dc-6d8c533e7af3.wav,4.522666666666667,3.0452163049485534,0.6733231806342614,"Ta không muốn vậy! Họ tới dưới chân tòa tháp, đứng trước cánh cổng vào duy nhất.",ta không muốn vậy họ tới dưới chân tòa tháp đứng trước cánh cổng vào duy nhất
1,dolly-vn/dolly-audio-1000h-vietnamese,520aa164-6a34-4611-8c6d-c401a3a43b02.wav,2.112,2.4158510519191623,1.1438688692799064,Xe ra khỏi lối đi và bắt đầu leo dốc.,xe ra khỏi lối đi và bắt đầu leo dốc
2,dolly-vn/dolly-audio-1000h-vietnamese,75b0ca7c-cf4c-4f3f-a11c-2bf0723e6991.wav,1.6106666666666667,2.00928410096094,1.2474859898350208,Tới bệnh viện chúng tôi bước vào.,tới bệnh viện chúng tôi bước vào
3,dolly-vn/dolly-audio-1000h-vietnamese,607e02ea-dc2c-411e-a313-100c805191c6.wav,7.2,3.5113613582216203,0.4876890775307806,"Sự im ắng, ngoại trừ những tiếng sóng vỗ đều đều ập vào bờ đá tít bên dưới, vẫn vô cùng ngột ngạt.",sự im ắng ngoại trừ những tiếng sóng vỗ đều đều ập vào bờ đá tít bên dưới vẫn vô cùng ngột ngạt
4,dolly-vn/dolly-audio-1000h-vietnamese,71c1bcce-856c-4b90-9fb2-e30500f4fa20.wav,2.176,2.260119013953954,1.0386576350891332,Họ lùi lại để trông cho rõ tòa tháp.,họ lùi lại để trông cho rõ tòa tháp
5,dolly-vn/dolly-audio-1000h-vietnamese,03d68f29-0def-4c33-a86a-2025f6cee49a.wav,1.728,2.025811610976234,1.1723446822779133,Sinh Vào Thời Loạn hai.,sinh vào thời loạn 2
6,dolly-vn/dolly-audio-1000h-vietnamese,f401f7d2-0df4-46b0-8969-f78dbea4e59f.wav,10.72,4.5158432479947805,0.4212540343278713,"Nhưng quả thực là có gì đó bất ổn. Cậu có nghĩ là Bóng tối nghe thấy chúng ta đến và hắn đã trốn không? Giải pháp này cũng có thể lắm, Qadehar thú thực và chăm chú quan sát tòa tháp.",nhưng quả thật là có gì đó bất ổn cậu có nghĩ là bóng tối nghe thấy chúng ta đến và hắn đã trốn không giải pháp này cũng có thể lắm khai Đề hà thú thực và chăm chú quan sát tòa tháp
7,dolly-vn/dolly-audio-1000h-vietnamese,e281d8ea-bb7a-4be7-9b81-0f0119f123f2.wav,4.448,3.1963266250677407,0.7185986117508409,"Một bà ngồi tại bàn giấy vào sổ ghi tên tuổi của Catherine, địa chỉ và tôn giáo của nàng.",một bà ngồi tại bàn giấy vào sổ ghi tên tuổi của catherine địa chỉ và tôn giáo của nàng
8,dolly-vn/dolly-audio-1000h-vietnamese,b56ffe90-adb8-4e40-bacc-39fb16ff8cec.wav,1.248,2.017247831914574,1.6163844807007803,Nửa Đêm Đến Viếng năm.,nửa đêm đến viếng năm
9,dolly-vn/dolly-audio-1000h-vietnamese,bc915e72-b48e-42ef-8734-60dd19a83ec5.wav,3.6906666666666665,2.564485050039366,0.6948568596566201,Nàng khai tên là Catherine Henry. Tôi sẽ đưa bà lên phòng Bà ta nói.,nàng khai tên là carrie henry tôi sẽ đưa bà lên phòng bà ta nói
10,dolly-vn/dolly-audio-1000h-vietnamese,2730450e-93ce-401e-9a54-52beca68f501.wav,1.0666666666666667,1.9041671759914607,1.7851567274919944,Diệt Trừ Vây Cánh sáu.,dịch trừ vay cánh sáu
11,dolly-vn/dolly-audio-1000h-vietnamese,2a867633-9010-4c76-b878-a865bd4dab77.wav,3.4133333333333336,2.569050998892635,0.7526516598318267,Đột nhập bằng lối cửa ra vào sẽ làm chúng ta mất quá nhiều thời gian.,Đột nhập bằng lối cửa ra vào sẽ làm chúng ta mất quá nhiều thời gian
12,dolly-vn/dolly-audio-1000h-vietnamese,6922058b-b5c9-4fb0-8b5d-0d783fa5f8b8.wav,5.557333333333333,3.6984822729136795,0.6655138446941602,Chúng tôi đi lên thang máy và bước ra đi theo bà ta qua một hành lang. Phòng đây Bà ấy nói Mời bà thay quần áo và bước lên giường.,chúng tôi đi lên thang máy và bước ra đi theo bà ta qua một hành lang phòng đây bà ấy nói mời bà thay quần áo và bước lên giường
13,dolly-vn/dolly-audio-1000h-vietnamese,2263229d-95d5-4cfd-bede-fab32dd5c9f0.wav,5.013333333333334,2.93598142801784,0.5856345933546223,Tôi bước ra ngoài và ngồi trên một chiếc ghế ở ngoài hành lang. Ông có thể vào được Bà ta đứng ở ngưỡng cửa bảo tôi.,tôi bước ra ngoài và ngồi trên một chiếc ghế ở ngoài hành lang Ông có thể vào được bà ta đứng ở ngưỡng cửa bảo tôi
