index,dataset,path,audio_duration,processing_time,rtf,ground_truth,gemini_model,gemini_transcription
0,dolly-vn/dolly-audio-1000h-vietnamese,a2257dc1-88ff-43f2-a9dc-6d8c533e7af3.wav,4.522666666666667,3.8684949800081085,0.8553570857918872,"Ta không muốn vậy! Họ tới dưới chân tòa tháp, đứng trước cánh cổng vào duy nhất.",gemini-2.5-flash,"Ta không muốn vậy. Họ tới dưới chân tòa tháp, đứng trước cánh cổng vào duy nhất."
1,dolly-vn/dolly-audio-1000h-vietnamese,520aa164-6a34-4611-8c6d-c401a3a43b02.wav,2.112,3.9798945259826723,1.8844197566205834,Xe ra khỏi lối đi và bắt đầu leo dốc.,gemini-2.5-flash,Xe ra khỏi lối đi và bắt đầu dốc.
2,dolly-vn/dolly-audio-1000h-vietnamese,75b0ca7c-cf4c-4f3f-a11c-2bf0723e6991.wav,1.6106666666666667,2.1934863880160265,1.361849992559619,Tới bệnh viện chúng tôi bước vào.,gemini-2.5-flash,Tới bệnh viện chúng tôi vào
3,dolly-vn/dolly-audio-1000h-vietnamese,607e02ea-dc2c-411e-a313-100c805191c6.wav,7.2,1.9157605220098048,0.26607785027913955,"Sự im ắng, ngoại trừ những tiếng sóng vỗ đều đều ập vào bờ đá tít bên dưới, vẫn vô cùng ngột ngạt.",gemini-2.5-flash,"Sự im ắng, ngoại trừ những tiếng sóng vỗ đều đều ập vào bờ đá tít bên dưới, vẫn vô cùng ngột ngạt."
4,dolly-vn/dolly-audio-1000h-vietnamese,71c1bcce-856c-4b90-9fb2-e30500f4fa20.wav,2.176,3.3724159769772086,1.5498235188314378,Họ lùi lại để trông cho rõ tòa tháp.,gemini-2.5-flash,Họ lùi lại để trông cho rõ tòa
5,dolly-vn/dolly-audio-1000h-vietnamese,03d68f29-0def-4c33-a86a-2025f6cee49a.wav,1.728,3.239153578004334,1.8745101724562119,Sinh Vào Thời Loạn hai.,gemini-2.5-flash,Sinh vào thời loạn
6,dolly-vn/dolly-audio-1000h-vietnamese,f401f7d2-0df4-46b0-8969-f78dbea4e59f.wav,10.72,3.890330260997871,0.3629039422572641,"Nhưng quả thực là có gì đó bất ổn. Cậu có nghĩ là Bóng tối nghe thấy chúng ta đến và hắn đã trốn không? Giải pháp này cũng có thể lắm, Qadehar thú thực và chăm chú quan sát tòa tháp.",gemini-2.5-flash,Nhưng quả thực là có gì đó bất ổn. Cậu có nghĩ là bóng tối nghe thấy chúng ta đến và hắn đã trốn không? Giải pháp này cũng có thể lắm. Kaiha thú thực và chăm chú quan sát tòa tháp.
7,dolly-vn/dolly-audio-1000h-vietnamese,e281d8ea-bb7a-4be7-9b81-0f0119f123f2.wav,4.448,3.7618288710073102,0.8457349080502046,"Một bà ngồi tại bàn giấy vào sổ ghi tên tuổi của Catherine, địa chỉ và tôn giáo của nàng.",gemini-2.5-flash,"Một bà ngồi tại bàn giấy vào sổ ghi tên tuổi của Catherine, địa chỉ và tôn giáo của nàng."
8,dolly-vn/dolly-audio-1000h-vietnamese,b56ffe90-adb8-4e40-bacc-39fb16ff8cec.wav,1.248,2.667433446011273,2.137366543278264,Nửa Đêm Đến Viếng năm.,gemini-2.5-flash,Nửa đêm đến Việt Nam
9,dolly-vn/dolly-audio-1000h-vietnamese,bc915e72-b48e-42ef-8734-60dd19a83ec5.wav,3.6906666666666665,3.9057083730003797,1.058266358291288,Nàng khai tên là Catherine Henry. Tôi sẽ đưa bà lên phòng Bà ta nói.,gemini-2.5-flash,Nàng khai tên là Kerry Henry tôi sẽ đưa bà lên phòng bà ta
10,dolly-vn/dolly-audio-1000h-vietnamese,2730450e-93ce-401e-9a54-52beca68f501.wav,1.0666666666666667,2.8171345320006367,2.641063623750597,Diệt Trừ Vây Cánh sáu.,gemini-2.5-flash,Diệt trừ cánh sáng
11,dolly-vn/dolly-audio-1000h-vietnamese,2a867633-9010-4c76-b878-a865bd4dab77.wav,3.4133333333333336,2.928147191007156,0.8578556223653777,Đột nhập bằng lối cửa ra vào sẽ làm chúng ta mất quá nhiều thời gian.,gemini-2.5-flash,Đột nhập bằng lối cửa ra vào sẽ làm chúng ta mất quá nhiều thời gian
12,dolly-vn/dolly-audio-1000h-vietnamese,6922058b-b5c9-4fb0-8b5d-0d783fa5f8b8.wav,5.557333333333333,2.965624939999543,0.5336417238482863,Chúng tôi đi lên thang máy và bước ra đi theo bà ta qua một hành lang. Phòng đây Bà ấy nói Mời bà thay quần áo và bước lên giường.,gemini-2.5-flash,Chúng tôi đi lên thang máy và bước ra đi theo bà ta qua một hành lang. Phòng đây bà ấy nói mời bà thay quần áo và bước lên giường.
13,dolly-vn/dolly-audio-1000h-vietnamese,2263229d-95d5-4cfd-bede-fab32dd5c9f0.wav,5.013333333333334,3.7096043700003065,0.7399476801862314,Tôi bước ra ngoài và ngồi trên một chiếc ghế ở ngoài hành lang. Ông có thể vào được Bà ta đứng ở ngưỡng cửa bảo tôi.,gemini-2.5-flash,Tôi bước ra ngoài và ngồi trên một chiếc ghế ở ngoài hành lang. Ông có thể vào được bà ta đứng ở ngưỡng cửa bảo tôi.
14,dolly-vn/dolly-audio-1000h-vietnamese,4d73660d-e634-418a-8539-32bc8280ecd4.wav,6.368,4.579527918016538,0.7191469720503357,"Catherine nằm trên một chiếc giường hẹp, mặc chiếc áo ngủ cổ vuông được may bằng vải thô.",gemini-2.5-flash,"Catherine nằm trên một chiếc giường hẹp, mặc chiếc áo ngủ cổ vuông được may bằng vải thô."
15,dolly-vn/dolly-audio-1000h-vietnamese,abcd7307-13fe-427d-94bb-619dd2f4063a.wav,1.696,3.3633655019802973,1.9831164516393263,Duyệt Binh Tại Mạnh Tân tám.,gemini-2.5-flash,Duyệt binh tại Mãn Châu
16,dolly-vn/dolly-audio-1000h-vietnamese,b3826ce4-b134-48e1-80f6-1609d5ed1338.wav,2.816,3.581340638018446,1.271782897023596,Nàng nhìn tôi mỉm cười. Bây giờ em đang đau thúc lên.,gemini-2.5-flash,Nàng nhìn tôi mỉm cười. Bây giờ em đang đau thấu xương.
17,dolly-vn/dolly-audio-1000h-vietnamese,c09591b1-1c29-41aa-bd36-547ead0b9001.wav,7.1466666666666665,2.3077651750063524,0.32291490321917243,"Đoàn Phù thủy đồng loạt quay người lại, và theo phản xạ, tất cả đều thủ tư thế của Naudhiz, Linh Phù chống lại các cuộc tấn công. Không phải vậy! Qadehar gào lên khi thấy các đồng môn của mình.",gemini-2.5-flash,"Đoàn phù thủy đồng loạt quay người lại và theo phản xạ tất cả đều thủ tư thế của Naudi, linh phù chống lại các cuộc tấn công không phải vậy. Karea gào lên khi thấy các đồng môn của mình."
18,dolly-vn/dolly-audio-1000h-vietnamese,18c1dbbb-4ebf-4461-b12e-2654bdda3734.wav,2.7626666666666666,2.8622165379929356,1.036033978520609,Mẹ kiếp! Chúng ta đang ở trong Thế giới Vô hình.,gemini-2.5-flash,Mẹ kiếp chúng ta đang ở trong thế giới mô hình
19,dolly-vn/dolly-audio-1000h-vietnamese,d3a62d03-9c90-4a26-a09c-11e9847cc2e3.wav,9.536,2.2684919299790636,0.23788715708673067,"Để làm chủ được bảng thứ tự các vì sao ma thuật trong Thế giới Vô hình, tất nhiên phải chỉnh sửa nhiều và thay đổi dáng vẻ của các Linh Phù tùy theo hình dạng mới của các chòm sao.",gemini-2.5-flash,"Để làm chủ được bảng thứ các vì sao ma thuật trong thế giới vô hình, tất nhiên phải chỉnh sửa nhiều và thay đổi dáng vẻ của các linh phù tùy theo hình dạng mới của các chòm sao."
