index,dataset,path,audio_duration,processing_time,rtf,ground_truth,gemini_model,gemini_transcription
0,capleaf/viVoice,audio_502.22_504.3.wav,2.1333333333333333,4.334253443055786,2.0316813014323998,Và mọi chuyện thì chưa dừng lại ở đó.,gemini-3-flash-preview,Và mọi chuyện thì chưa dừng lại ở đó.
1,capleaf/viVoice,audio_325.98_328.04.wav,2.1333333333333333,3.567687439965084,1.6723534874836332,"Tuy nhiên, quá trình này không diễn ra lâu.",gemini-3-flash-preview,"Tuy nhiên, quá trình này không diễn ra lâu,"
2,capleaf/viVoice,audio_399.3_401.78.wav,2.56,3.2239306370029226,1.2593479050792666,Đây là những chiếc kẹn chim nước được làm bằng sứ.,gemini-3-flash-preview,Đây là những chiếc kèn chim nước được làm bằng sứ
3,capleaf/viVoice,audio_466.06_466.92.wav,1.1093333333333333,3.485709020984359,3.1421655838200353,Chứ đó. Đâu ra?,gemini-3-flash-preview,Chứ đâu ra
4,capleaf/viVoice,audio_104.32_107.14.wav,3.072,3.2940264280186966,1.0722742278706694,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,gemini-3-flash-preview,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.
5,capleaf/viVoice,audio_1245.34_1247.3.wav,1.9626666666666666,3.239122857921757,1.6503683039682866,Bản báo cáo miêu tả tâm trạng.,gemini-3-flash-preview,Bản báo cáo miêu tả tâm trạng
6,capleaf/viVoice,audio_641.74_648.68.wav,7.082666666666666,4.616057256935164,0.6517400118037224,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",gemini-3-flash-preview,Thuật ngữ Musou xuất phát từ tên tiếng Nhật của series Warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.
7,capleaf/viVoice,audio_1181.52_1182.84.wav,1.3653333333333333,3.7777040649671108,2.766873094458333,Thì kết thúc này quen lắm.,gemini-3-flash-preview,Cái kết thúc này quen lắm.
8,capleaf/viVoice,audio_155.31_156.39.wav,1.1946666666666668,3.4365701159695163,2.8765932890369834,Cậu có nhìn thấy không?,gemini-3-flash-preview,Cậu có nhìn thấy không?
9,capleaf/viVoice,audio_613.06_617.18.wav,4.181333333333333,3.4362617779988796,0.8218100553249872,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.",gemini-3-flash-preview,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn."
10,capleaf/viVoice,audio_16.92_21.38.wav,4.522666666666667,3.553687790990807,0.7857505434089344,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.",gemini-3-flash-preview,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy Quân sự tỉnh."
11,capleaf/viVoice,audio_649.96_657.5.wav,7.594666666666667,4.311863644979894,0.5677488998832374,"Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.",gemini-3-flash-preview,"Trong bầu không khí náo nhiệt của rạp hát, hung thủ rút khẩu súng Derringer 44 ly, dí sát đầu tổng thống và nã đạn."
12,capleaf/viVoice,audio_209.47_212.13.wav,2.9013333333333335,3.6249774389434606,1.2494177753711375,"Một, một ngày hãy làm tốt vài điều mình muốn làm.",gemini-3-flash-preview,"Một, một ngày hãy làm tốt vài điều mình muốn làm."
13,capleaf/viVoice,audio_405.73_410.03.wav,4.352,3.8762042339658365,0.8906719287605322,Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.,gemini-3-flash-preview,"Kế hoạch là vậy, nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch."
14,capleaf/viVoice,audio_557.88_564.72.wav,6.826666666666667,3.4011029050452635,0.4982084333562397,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.,gemini-3-flash-preview,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.
15,capleaf/viVoice,audio_10.42_14.32.wav,4.010666666666666,4.137029052013531,1.0315065787932676,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.,gemini-3-flash-preview,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.
16,capleaf/viVoice,audio_626.96_628.54.wav,1.7066666666666668,3.5762435999931768,2.095455234371002,Ám sát kẻ thù của quốc gia.,gemini-3-flash-preview,Áp sát kẻ thù của quốc gia
17,capleaf/viVoice,audio_24.4_26.0.wav,1.792,3.585395046044141,2.0007784855157036,Xếp trồi lên và gợi ý bạn.,gemini-3-flash-preview,Sếp trồi lên và gợi ý bạn
18,capleaf/viVoice,audio_125.82_129.28.wav,3.498666666666667,4.174480925081298,1.1931633741657672,Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.,gemini-3-flash-preview,Thì thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.
19,capleaf/viVoice,audio_685.62_690.78.wav,5.290666666666667,4.28533394203987,0.8099799537625761,"Hãy gạt bỏ chúng qua hẳn một bên, rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.",gemini-3-flash-preview,"Hãy gạt bỏ chúng qua hẳn một bên, rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín."
20,capleaf/viVoice,audio_2692.88_2694.36.wav,1.536,4.994078801944852,3.251353386682846,Mà bước chân bối rối.,gemini-3-flash-preview,mảnh bước chân bối rối
21,capleaf/viVoice,audio_1051.98_1053.22.wav,1.3653333333333333,5.098946577054448,3.734580012491051,Bảo đi chơi cũng không.,gemini-3-flash-preview,Bảo đi chơi cũng hông
22,capleaf/viVoice,audio_184.32_189.26.wav,4.949333333333334,3.5728428279981017,0.7218836532862544,"Đầu tiên là do đồng yên liên tục mất giá trong năm 2023, làm xói mòn lợi nhuận xuất khẩu.",gemini-3-flash-preview,"Đầu tiên là do đồng Yên liên tục mất giá trong năm 2023, làm xói mòn lợi nhuận xuất khẩu."
23,capleaf/viVoice,audio_1011.42_1015.66.wav,4.352,3.482864888967015,0.8002906454427883,"Năm 2015, Việt Nam chọn hệ thống tiên lửa Spider làm hệ thống tiên lửa phòng không tầm trung mới.",gemini-3-flash-preview,"Năm 2015, Việt Nam chọn hệ thống tên lửa Spyder làm hệ thống tên lửa phòng không tầm trung mới."
24,capleaf/viVoice,audio_246.79_253.55.wav,6.741333333333333,4.022916020010598,0.5967537608797366,"Trong những năm gần đây, Starbucks đã tăng giá các sản phẩm của mình để đối phó với lãng phát và chi phí lao động tăng cao.",gemini-3-flash-preview,"Trong những năm gần đây, Starbucks đã tăng giá các sản phẩm của mình để đối phó với lạm phát và chi phí lao động tăng cao."
25,capleaf/viVoice,audio_282.61_286.33.wav,3.84,3.7708968999795616,0.9820044010363442,"Như vậy, thật ra sát xuất để ô tô ở cửa 1 và cửa 3 không phải là bằng nhau.",gemini-3-flash-preview,"Như vậy, thực ra xác suất để ô tô ở cửa một và cửa ba không phải là bằng nhau."
26,capleaf/viVoice,audio_1178.62_1186.3.wav,7.765333333333333,4.324068163987249,0.5568425691947866,"Kiểm soát cảm xúc thực chất là một quá trình đánh giá lại bản thân, để tìm thấy tự do, thoát khỏi sự cuốn hút của chính bản ngã.",gemini-3-flash-preview,"Kiểm soát cảm xúc, thực chất là một quá trình đánh giá lại bản thân, để tìm thấy tự do thoát khỏi sự cuốn hút của chính bản ngã."
27,capleaf/viVoice,audio_1091.88_1095.4.wav,3.4133333333333336,3.5557043299777433,1.041710252923167,"Thứ hai, trong khẩu vũ khí có nòng còn bảy viên.",gemini-3-flash-preview,"Thứ hai, trong khẩu súng có nòng còn bảy viên."
28,capleaf/viVoice,audio_17.66_27.98.wav,10.410666666666666,4.169671713956632,0.40051918358958427,"Trước đó, phóng viên thông tấn xã Việt Nam đã đưa tin trong giờ ra chơi tiết 2, nam sinh lớp 10 trường Trung học Phổ thông Đào Duy Từ bất ngờ rơi từ tầng 4 của nhà trường và bị đa chấn thương.",gemini-3-flash-preview,"Trước đó phóng viên Thông tấn xã Việt Nam đã đưa tin trong giờ ra chơi tiết hai, nam sinh lớp 10 trường Trung học phổ thông Đào Duy Từ bất ngờ rơi từ tầng 4 của nhà trường và bị đa chấn thương."
29,capleaf/viVoice,audio_1125.88_1127.5.wav,1.4506666666666668,3.7527981229359284,2.58694723547973,Với giá cao hơn đá thị trường.,gemini-3-flash-preview,với giá cao hơn giá thị trường
30,capleaf/viVoice,audio_132.6_137.36.wav,4.864,4.589978402014822,0.9436633227826525,"Chiến thuật này đã kích cầu việc mua rượu, và ngay sau đó, ông bán được một số lượng rượu lớn từ những người khách đó.",gemini-3-flash-preview,Chiến thuật này đã kích cầu việc mua rượu và ngay sau đó ông bán được một số lượng rượu lớn từ những người khách đó.
31,capleaf/viVoice,audio_556.64_557.86.wav,1.3653333333333333,3.831141117028892,2.8060115603238955,Khỏi tâm trạng tiêu cực.,gemini-3-flash-preview,khỏi tâm trạng tiêu cực
