index,dataset,path,audio_duration,processing_time,rtf,ground_truth,gemini_model,gemini_transcription
0,dolly-vn/dolly-audio-1000h-vietnamese,a2257dc1-88ff-43f2-a9dc-6d8c533e7af3.wav,4.522666666666667,4.055150213011075,0.8966281426174251,"Ta không muốn vậy! Họ tới dưới chân tòa tháp, đứng trước cánh cổng vào duy nhất.",gemini-3-flash-preview,"Ta không muốn vậy. Họ tới dưới chân tòa tháp, đứng trước cánh cổng vào duy nhất."
1,dolly-vn/dolly-audio-1000h-vietnamese,520aa164-6a34-4611-8c6d-c401a3a43b02.wav,2.112,4.124845953978365,1.9530520615427864,Xe ra khỏi lối đi và bắt đầu leo dốc.,gemini-3-flash-preview,Xe ra khỏi lối đi và bắt đầu leo dốc.
2,dolly-vn/dolly-audio-1000h-vietnamese,75b0ca7c-cf4c-4f3f-a11c-2bf0723e6991.wav,1.6106666666666667,3.0895852819958236,1.9182027826960826,Tới bệnh viện chúng tôi bước vào.,gemini-3-flash-preview,Tới bệnh viện chúng tôi bước vào
3,dolly-vn/dolly-audio-1000h-vietnamese,607e02ea-dc2c-411e-a313-100c805191c6.wav,7.2,3.4724081519816536,0.4822789099974519,"Sự im ắng, ngoại trừ những tiếng sóng vỗ đều đều ập vào bờ đá tít bên dưới, vẫn vô cùng ngột ngạt.",gemini-3-flash-preview,"Sự im ắng, ngoại trừ những tiếng sóng vỗ đều đều ập vào bờ đá tít bên dưới, vẫn vô cùng ngột ngạt."
4,dolly-vn/dolly-audio-1000h-vietnamese,71c1bcce-856c-4b90-9fb2-e30500f4fa20.wav,2.176,3.611025382997468,1.6594785767451599,Họ lùi lại để trông cho rõ tòa tháp.,gemini-3-flash-preview,Họ lùi lại để trông cho rõ tòa tháp
5,dolly-vn/dolly-audio-1000h-vietnamese,03d68f29-0def-4c33-a86a-2025f6cee49a.wav,1.728,3.5418420170026366,2.0496770931728223,Sinh Vào Thời Loạn hai.,gemini-3-flash-preview,Sinh vào thời loạn hai
6,dolly-vn/dolly-audio-1000h-vietnamese,f401f7d2-0df4-46b0-8969-f78dbea4e59f.wav,10.72,6.337222660018597,0.5911588302256153,"Nhưng quả thực là có gì đó bất ổn. Cậu có nghĩ là Bóng tối nghe thấy chúng ta đến và hắn đã trốn không? Giải pháp này cũng có thể lắm, Qadehar thú thực và chăm chú quan sát tòa tháp.",gemini-3-flash-preview,"Nhưng quả thực là có gì đó bất ổn. Cậu có nghĩ là bóng tối nghe thấy chúng ta đến và hắn đã trốn không? Giải pháp này cũng có thể lắm, Kha-đê-ha thú thực và chăm chú quan sát tòa tháp."
7,dolly-vn/dolly-audio-1000h-vietnamese,e281d8ea-bb7a-4be7-9b81-0f0119f123f2.wav,4.448,3.6800475789932534,0.8273488262125119,"Một bà ngồi tại bàn giấy vào sổ ghi tên tuổi của Catherine, địa chỉ và tôn giáo của nàng.",gemini-3-flash-preview,"Một bà ngồi tại bàn giấy và sổ ghi tên tuổi của Catherine, địa chỉ và tôn giáo của nàng."
8,dolly-vn/dolly-audio-1000h-vietnamese,b56ffe90-adb8-4e40-bacc-39fb16ff8cec.wav,1.248,5.052008441998623,4.048083687498897,Nửa Đêm Đến Viếng năm.,gemini-3-flash-preview,Nửa đêm đến viếng Năm
9,dolly-vn/dolly-audio-1000h-vietnamese,bc915e72-b48e-42ef-8734-60dd19a83ec5.wav,3.6906666666666665,3.452372739004204,0.9354333649758502,Nàng khai tên là Catherine Henry. Tôi sẽ đưa bà lên phòng Bà ta nói.,gemini-3-flash-preview,Nàng khai tên là Carrie Henry tôi sẽ đưa bà lên phòng bà ta nói
