index,dataset,path,audio_duration,processing_time,rtf,ground_truth,iflytek_transcription
0,linhtran92/viet_youtube_asr_corpus_v2,,2.581,0.836076718987897,0.32393518751952616,vậy và cái lần gần đây nhất chính là cái, Và cái lần gần đây nhất chính là cái đợt.
1,linhtran92/viet_youtube_asr_corpus_v2,,2.4024375,0.7652287569944747,0.3185218166942843,dài không liên lạc với gia đình và cũng, Dài không liên lạc với gia đình và cũng.
2,linhtran92/viet_youtube_asr_corpus_v2,,2.4005625,0.7611304969905177,0.3170633953460981,nhiều lần phải chịu và có khi lại nghiện, Nhiều lần phải chịu và có khi lại nghiện.
3,linhtran92/viet_youtube_asr_corpus_v2,,4.60075,1.1497583650052547,0.24990672499163286,trên thực tế chúng không bị mất đi mà chỉ đơn giản là được phát triển theo hướng linh động hơn, Trên thực tế chúng không bị mất đi mà chỉ đơn giản là được phát triển theo hướng linh động hơn.
4,linhtran92/viet_youtube_asr_corpus_v2,,2.8404375,0.8077057210030034,0.28435961748956046,này cô đắc ý quá rồi còn gì tôi bị hất, Này cô đắc ý quá rồi còn gì tôi bị hất.
5,linhtran92/viet_youtube_asr_corpus_v2,,2.20125,0.6772945239936234,0.30768632549398,bụng nhưng không nói được gì tưởng được, Bụng nhưng không nói được gì tưởng được.
6,linhtran92/viet_youtube_asr_corpus_v2,,2.26275,1.057623729997431,0.4674063550977487,chỉ là một bài học đáng quý để bạn nhận, Chỉ là 1 bài học đáng quý để bạn nhận.
7,linhtran92/viet_youtube_asr_corpus_v2,,2.9220625,0.7836583720054477,0.2681867249606905,nên bà đành phải nhận nó cũng không dám, Nên bà đành phải nhận nó cũng không dám.
8,linhtran92/viet_youtube_asr_corpus_v2,,2.901125,6.088843096003984,2.0987868830208916,còn lại mấy phóng viên biên tập có tâm, Còn lại mấy phóng viên biên tập có tâm.
9,linhtran92/viet_youtube_asr_corpus_v2,,2.7411875,0.7663870079995831,0.27958211833359925,dù sao cũng được hai người đứng đầu, Dù sao cũng được 2 người đứng đầu.
10,linhtran92/viet_youtube_asr_corpus_v2,,3.1228125,10.83938229198975,3.471032055875833,người chỉ huy hoặc người thống trị người, Người chỉ huy hoặc người thống trị người.
11,linhtran92/viet_youtube_asr_corpus_v2,,3.2611875,6.121536291000666,1.8770881131491721,lớn lên nhanh thôi mà à mà chỉ có báo, Lớn lên nhanh thôi mà à mà chỉ có báo.
12,linhtran92/viet_youtube_asr_corpus_v2,,3.4110625,1.1725040440069279,0.3437357257473083,mong rằng giếng nước này có thể giúp đỡ, Mong rằng giếng nước này có thể giúp đỡ.
13,linhtran92/viet_youtube_asr_corpus_v2,,3.301875,1.1623739290080266,0.35203450433708927,mình đi thôi anh tiếng người con gái, Mình đi thôi anh tiếng người con gái.
14,linhtran92/viet_youtube_asr_corpus_v2,,3.2806875,1.0397295489965472,0.31692428766730973,kết tội anh ta thay vì vậy ông vờ như, Kết tội anh ta thay vì vậy ông vờ như.
15,linhtran92/viet_youtube_asr_corpus_v2,,1.98,1.6617812710028375,0.8392834702034533,thời đại mà mỗi buổi sáng thức dậy thì, Thời đại mà mỗi buổi sáng thức dậy thì.
16,linhtran92/viet_youtube_asr_corpus_v2,,2.6415625,0.8085180850030156,0.30607569762328757,chồng xem giống mà chẳng ai muốn làm, Chồng xem sống mà chẳng ai muốn làm.
17,linhtran92/viet_youtube_asr_corpus_v2,,2.64075,0.7632209529983811,0.2890167388046506,linh giận luôn cô không thèm để ý tới, Linh giận luôn cô không thèm để ý tới.
18,linhtran92/viet_youtube_asr_corpus_v2,,2.8015,0.8314437069930136,0.2967851890033959,dạ thôi chị em tranh thủ lúc cháu đang, Dạ thôi chị em tranh thủ lúc cháu đang.
19,linhtran92/viet_youtube_asr_corpus_v2,,2.300625,0.7330222129967296,0.3186187288222677,trong những tình huống tương tự cho thấy, Trong những tình huống tương tự cho thấy.
20,linhtran92/viet_youtube_asr_corpus_v2,,2.781375,0.8443801769899437,0.3035837227953597,thằng con ý muốn làm dịu cái ham muốn, Thằng con ý muốn làm dịu cái ham muốn.
21,linhtran92/viet_youtube_asr_corpus_v2,,2.1023125,0.710704833996715,0.33805860641399177,mắt vào màn hình máy tính thấy trong đó, Mất vào màn hình máy tính thấy trong đó.
