index,dataset,path,audio_duration,processing_time,rtf,ground_truth,model_id,phowhisper_transcription
0,capleaf/viVoice,audio_502.22_504.3.wav,2.1333333333333333,0.6742670950479805,0.3160627008037409,Và mọi chuyện thì chưa dừng lại ở đó.,vinai/PhoWhisper-small,và mọi chuyện thì chưa dừng lại ở đó.
1,capleaf/viVoice,audio_325.98_328.04.wav,2.1333333333333333,0.26247112394776195,0.12303333935051342,"Tuy nhiên, quá trình này không diễn ra lâu.",vinai/PhoWhisper-small,tuy nhiên quá trình này không diễn ra lâu.
2,capleaf/viVoice,audio_399.3_401.78.wav,2.56,0.2798024759395048,0.10929784216386906,Đây là những chiếc kẹn chim nước được làm bằng sứ.,vinai/PhoWhisper-small,đây là những chiếc gạn chim nước được làm bằng sứ.
3,capleaf/viVoice,audio_466.06_466.92.wav,1.1093333333333333,0.12740268395282328,0.11484616942862676,Chứ đó. Đâu ra?,vinai/PhoWhisper-small,chứ đâu đầu đà.
4,capleaf/viVoice,audio_104.32_107.14.wav,3.072,0.33841620094608516,0.11016152374547043,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,vinai/PhoWhisper-small,như vì một lý do nào đó mà đi nào đáp lóc luồn người yêu cũ.
5,capleaf/viVoice,audio_1245.34_1247.3.wav,1.9626666666666666,0.2658108969917521,0.13543354126617804,Bản báo cáo miêu tả tâm trạng.,vinai/PhoWhisper-small,bản báo cáo miêu tả tâm trạng.
6,capleaf/viVoice,audio_641.74_648.68.wav,7.082666666666666,0.8564892479917035,0.12092751054099729,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",vinai/PhoWhisper-small,thuật ngữ bù sâu xuất phát từ tên tiếng nhật của seoul wales đã chờ thanh tư dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.
7,capleaf/viVoice,audio_1181.52_1182.84.wav,1.3653333333333333,0.1825408700387925,0.13369692629794372,Thì kết thúc này quen lắm.,vinai/PhoWhisper-small,về kết thúc này quen lắm.
8,capleaf/viVoice,audio_155.31_156.39.wav,1.1946666666666668,0.1646988479187712,0.13786175886057855,Cậu có nhìn thấy không?,vinai/PhoWhisper-small,cậu có nhìn thấy không.
9,capleaf/viVoice,audio_613.06_617.18.wav,4.181333333333333,0.40067988098599017,0.09582586439397087,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.",vinai/PhoWhisper-small,nhìn từ người dân từ ngôi nhà bị phá mà lòng tôi đau đớn.
10,capleaf/viVoice,audio_16.92_21.38.wav,4.522666666666667,0.4725267809117213,0.1044796832794195,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.",vinai/PhoWhisper-small,đại tá trần đình hưng phó chỉ huy trưởng tham mưu trưởng bộ chỉ huy quân sự tỉnh.
11,capleaf/viVoice,audio_649.96_657.5.wav,7.594666666666667,0.640904063009657,0.08438870211679121,"Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.",vinai/PhoWhisper-small,trong bầu không khí não nhiệt của rạp hát hung thủ rút khẩu súng de brin gơ bốn mươi bốn li dí sát đầu tổng thống mà nã đạn.
12,capleaf/viVoice,audio_209.47_212.13.wav,2.9013333333333335,0.2083950430387631,0.07182733560619133,"Một, một ngày hãy làm tốt vài điều mình muốn làm.",vinai/PhoWhisper-small,một một ngày hãy làm tốt vài điều mình muốn làm.
13,capleaf/viVoice,audio_405.73_410.03.wav,4.352,0.4867411890299991,0.1118431040969667,Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.,vinai/PhoWhisper-small,kế hoạch là vậy nhưng cả pháp lẫn tây ban nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.
14,capleaf/viVoice,audio_557.88_564.72.wav,6.826666666666667,0.5554698479827493,0.08136765351309805,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.,vinai/PhoWhisper-small,bà cho rằng các cuộc xung đột giữa hồi giáo và phật giáo không phải là một cuộc thành lập sắc tộc như giới chức quốc tế nhận định.
15,capleaf/viVoice,audio_10.42_14.32.wav,4.010666666666666,0.3676933340029791,0.09167885654994493,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.,vinai/PhoWhisper-small,tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.
16,capleaf/viVoice,audio_626.96_628.54.wav,1.7066666666666668,0.1707762520527467,0.10006421018715628,Ám sát kẻ thù của quốc gia.,vinai/PhoWhisper-small,áp sát kể thù của quốc gia.
17,capleaf/viVoice,audio_24.4_26.0.wav,1.792,0.18805391597561538,0.10494080132567822,Xếp trồi lên và gợi ý bạn.,vinai/PhoWhisper-small,xếp trồi lên và gợi ý đại.
18,capleaf/viVoice,audio_125.82_129.28.wav,3.498666666666667,0.36342807905748487,0.10387616588914392,Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.,vinai/PhoWhisper-small,những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.
19,capleaf/viVoice,audio_685.62_690.78.wav,5.290666666666667,0.5348948580212891,0.10110159866833841,"Hãy gạt bỏ chúng qua hẳn một bên, rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.",vinai/PhoWhisper-small,hãy gạt bỏ chúng qua hẳn một bên rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.
20,capleaf/viVoice,audio_2692.88_2694.36.wav,1.536,0.1459541809745133,0.09502225323861542,Mà bước chân bối rối.,vinai/PhoWhisper-small,mà ngước chân bối rối.
21,capleaf/viVoice,audio_1051.98_1053.22.wav,1.3653333333333333,0.1273042659740895,0.09324042918024134,Bảo đi chơi cũng không.,vinai/PhoWhisper-small,bảo đi chơi cũng hông.
22,capleaf/viVoice,audio_184.32_189.26.wav,4.949333333333334,0.5082365749403834,0.10268788556176928,"Đầu tiên là do đồng yên liên tục mất giá trong năm 2023, làm xói mòn lợi nhuận xuất khẩu.",vinai/PhoWhisper-small,đầu tiên là do đồng yên liên tục bất giá trong năm hai không hai ba làm xói mòn lợi nhuận xuất khẩu.
23,capleaf/viVoice,audio_1011.42_1015.66.wav,4.352,0.5130835390882567,0.11789603379785309,"Năm 2015, Việt Nam chọn hệ thống tiên lửa Spider làm hệ thống tiên lửa phòng không tầm trung mới.",vinai/PhoWhisper-small,năm hai không mười lăm việt nam chọn hệ thống tên là spiderman là hệ thống tên quốc phòng không tầm trung mới.
24,capleaf/viVoice,audio_246.79_253.55.wav,6.741333333333333,0.5519021189538762,0.08186839185431312,"Trong những năm gần đây, Starbucks đã tăng giá các sản phẩm của mình để đối phó với lãng phát và chi phí lao động tăng cao.",vinai/PhoWhisper-small,trong những năm gần đây trung quốc đã tăng giá các sản phẩm của mình để đối phó với lạm phát và chi phí lao động tăng cao.
25,capleaf/viVoice,audio_282.61_286.33.wav,3.84,0.4078954519936815,0.10622277395668789,"Như vậy, thật ra sát xuất để ô tô ở cửa 1 và cửa 3 không phải là bằng nhau.",vinai/PhoWhisper-small,như vậy thời trang xác suất để ô tô ở cửa một và cửa ba không phải là bằng nhau.
26,capleaf/viVoice,audio_1178.62_1186.3.wav,7.765333333333333,0.5979309310205281,0.07700003404282213,"Kiểm soát cảm xúc thực chất là một quá trình đánh giá lại bản thân, để tìm thấy tự do, thoát khỏi sự cuốn hút của chính bản ngã.",vinai/PhoWhisper-small,kiểm soát cảm xúc thực chất là một quá trình đánh giá lại bản thân để tìm thấy tự do khát khỏi sự cuốn hút của chính bạn ngã.
27,capleaf/viVoice,audio_1091.88_1095.4.wav,3.4133333333333336,0.2749222529819235,0.0805436288032979,"Thứ hai, trong khẩu vũ khí có nòng còn bảy viên.",vinai/PhoWhisper-small,thứ hai trong khẩu vũ khí có nòng còn bảy viên.
28,capleaf/viVoice,audio_17.66_27.98.wav,10.410666666666666,0.9568330689799041,0.09190891415662501,"Trước đó, phóng viên thông tấn xã Việt Nam đã đưa tin trong giờ ra chơi tiết 2, nam sinh lớp 10 trường Trung học Phổ thông Đào Duy Từ bất ngờ rơi từ tầng 4 của nhà trường và bị đa chấn thương.",vinai/PhoWhisper-small,trước đó phóng viên thông tấn xã việt nam đã đưa tin trong giờ ra chơi tiết hai nam sinh lớp mười trường trung học phổ thông đào duy từ bất ngờ rơi từ tầng bốn của nhà trường và bị đa chấn thương.
